Symbol,Lot Size,Future OI,Change (Future OI),# of lots change (Future OI),% Change in Future_OI,PE OI,Change (PE OI),# of lots change (PE OI),% Change (PE OI),CE OI,Change (CE OI),# of lots change (CE OI),% Change (CE OI),VWAP,CLOSE PRICE,Change CE / PE Ratio (OI),Delivery %,% Change in Price,% Change in Price From Low,% Change in Price From High,Decision (Based on Options,Decision (Based on Futures,Decision (Based on Price
UNIONBANK,4425,22032075,650475,147.0,3.042219,8257050,2796600,632.0,51.215559,9668625,2261175,511.0,30.525687,121.92,123.06,0.808544,42.5,0.022348,0.030222,0.008221,None,Possible Buy,Strong. Price Close Above VWAP.
UNITDSPR,350,10854900,86800,248.0,0.806085,877450,217000,620.0,32.856386,1256850,172550,493.0,15.913493,1647.81,1659.6,0.795161,28.55,0.02101,0.029656,0.002764,None,Possible Buy,Strong. Price Close Above VWAP.
UPL,1355,29219220,104335,77.0,0.358356,5254690,165310,122.0,3.248136,6041945,208670,154.0,3.577236,499.54,500.5,1.262295,44.37,-0.000998,0.006637,0.00269,None,None,Strong. Price Close Above VWAP.
VBL,875,8257375,-796250,-910.0,-8.79482,1267875,186375,213.0,17.23301,2118375,490000,560.0,30.091349,645.88,650.85,2.629108,56.81,0.019342,0.020941,0.004284,None,Possible Buy,Strong. Price Close Above VWAP.
VEDL,1150,105305500,-418600,-364.0,-0.395936,20035300,817650,711.0,4.254683,32303500,1247750,1085.0,4.017774,442.4,444.45,1.52602,41.84,0.0,0.012876,0.006705,None,None,Strong. Price Close Above VWAP.
VOLTAS,300,7507200,39300,131.0,0.526252,1400700,301200,1004.0,27.39427,1990800,591300,1971.0,42.250804,1800.57,1826.95,1.963147,38.82,0.020671,0.036509,0.003273,None,Possible Buy,Strong. Price Close Above VWAP.
WIPRO,3000,61461000,1044000,348.0,1.72799,23718000,1284000,428.0,5.723455,34125000,1809000,603.0,5.597846,300.5,300.3,1.408879,50.18,-0.005135,0.004516,0.010054,None,None,Weak. Price Close Below VWAP.
YESBANK,26000,266968000,7072000,272.0,2.721088,40898000,2704000,104.0,7.079646,81952000,4290000,165.0,5.523937,19.62,19.63,1.586538,24.23,0.002042,0.005635,0.003553,None,None,Strong. Price Close Above VWAP.
ZOMATO,2000,117150000,-420000,-210.0,-0.357234,32456000,542000,271.0,1.698314,46180000,2618000,1309.0,6.009825,277.22,276.5,4.830258,39.31,-0.005575,0.001812,0.009316,None,None,Weak. Price Close Below VWAP.
ZYDUSLIFE,900,11708100,-16200,-18.0,-0.138175,2575800,138600,154.0,5.686854,3436200,396000,440.0,13.025459,973.23,973.8,2.857143,60.16,0.002161,0.008806,0.006327,Possible Sell,None,Strong. Price Close Above VWAP.
