SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
360ONE,2025-01-10,9,14.0,127872,315997.0,-35.0,-59.0,N,Y,-9.906542,-7.129094,6,2,17,2,5,8,6
3IINFOLTD,2025-01-10,164,181.0,326686,559624.0,-9.0,-41.0,N,N,-7.692308,0.0,5,4,16,0,7,2,12
3MINDIA,2025-01-10,1,1.0,2096,1901.0,-8.0,10.0,N,Y,-0.984452,-1.866192,4,6,15,3,4,5,9
5PAISA,2025-01-10,8,11.0,14083,13288.0,-25.0,5.0,N,N,-6.060606,-6.060606,2,8,15,1,6,4,10
63MOONS,2025-01-10,37,55.0,115052,173369.0,-32.0,-33.0,N,N,-1.876676,-8.955224,6,6,13,2,5,6,8
AAATECH,2025-01-10,38,23.0,15774,8619.0,59.0,83.0,N,N,-4.545455,-2.325581,3,10,12,2,5,5,9
AADHARHFC,2025-01-10,43,23.0,277738,140898.0,83.0,97.0,N,Y,4.022989,1.117318,5,2,18,2,5,4,10
AAKASH,2025-01-10,136,176.0,71914,75555.0,-22.0,-4.0,N,N,0.0,0.0,4,9,12,1,6,2,11
AARON,2025-01-10,6,16.0,3360,13475.0,-61.0,-75.0,N,N,0.0,-7.272727,5,7,13,2,5,3,11
AARTIDRUGS,2025-01-10,8,14.0,45888,108942.0,-43.0,-57.0,N,N,-3.174603,2.808989,2,6,17,1,6,3,11
AARTIIND,2025-01-10,60,42.0,774933,595525.0,42.0,30.0,Y,Y,4.651163,4.651163,3,8,14,4,3,8,6
AARTIPHARM,2025-01-10,13,17.0,134463,319573.0,-24.0,-57.0,N,N,0.0,17.213115,7,5,13,3,4,8,6
AARTISURF,2025-01-10,11,11.0,5599,5159.0,-5.0,8.0,N,N,-0.380228,-2.238806,5,4,16,2,5,3,6
AARVI,2025-01-10,25,25.0,5419,5009.0,-1.0,8.0,N,N,-1.785714,-5.172414,2,5,18,1,6,4,10
AAVAS,2025-01-10,25,11.0,445017,74870.0,111.0,494.0,N,Y,1.569187,1.136364,5,5,15,5,2,11,3
ABAN,2025-01-10,49,35.0,71111,28636.0,41.0,148.0,N,N,-7.692308,-11.111111,3,8,14,2,5,4,10
ABB,2025-01-10,7,6.0,121072,122144.0,4.0,0.0,Y,Y,-3.896104,-6.552901,3,8,14,3,4,6,8
ABBOTINDIA,2025-01-10,2,1.0,3029,4931.0,9.0,-38.0,Y,Y,-0.8478,2.13757,4,5,16,2,5,5,9
ABCAPITAL,2025-01-10,81,77.0,1407929,907209.0,5.0,55.0,Y,Y,-5.263158,-7.692308,2,11,12,3,4,4,10
ABDL,2025-01-10,34,55.0,369704,512535.0,-37.0,-27.0,N,N,-2.209945,3.508772,7,5,13,4,3,9,5
ABFRL,2025-01-10,118,99.0,2200440,866842.0,18.0,153.0,Y,Y,0.0,-1.680672,3,8,14,5,2,9,5
ABGSEC,2025-01-10,11,68.0,30,686.0,-83.0,-95.0,N,N,4.651163,2.272727,5,4,16,3,4,5,8
ABREL,2025-01-10,14,8.0,360764,105360.0,69.0,242.0,N,Y,-13.248283,-18.675253,1,13,11,1,6,2,12
ABSLAMC,2025-01-10,8,11.0,185640,183311.0,-23.0,1.0,N,Y,-2.623907,0.3003,3,6,16,2,5,5,9
ABSLBANETF,2025-01-10,24,295.0,10268,173724.0,-91.0,-94.0,N,N,-4.545455,-4.545455,5,8,12,3,4,4,9
ABSLLIQUID,2025-01-10,84,162.0,1226,5391.0,-48.0,-77.0,N,N,3.389831,1.425178,0,0,25,2,4,5,5
ABSLNN50ET,2025-01-10,34,42.0,16504,15872.0,-18.0,3.0,N,N,-3.333333,-3.333333,3,8,14,2,5,5,9
ABSLPSE,2025-01-10,225,688.0,345967,447264.0,-67.0,-22.0,N,N,0.0,0.0,2,7,16,2,4,6,7
ACC,2025-01-10,13,10.0,110556,91902.0,22.0,20.0,Y,Y,-3.738318,-6.78733,2,9,14,3,4,6,8
ACCELYA,2025-01-10,32,15.0,41900,21742.0,102.0,92.0,N,N,0.628931,1.426307,4,5,16,2,5,4,10
ACCURACY,2025-01-10,190,210.0,129231,194411.0,-9.0,-33.0,N,N,-20.0,0.0,3,5,17,2,5,3,11
ACE,2025-01-10,8,11.0,75147,113299.0,-27.0,-33.0,N,Y,-11.162791,-8.757962,6,7,12,2,5,3,11
ACEINTEG,2025-01-10,51,37.0,10173,6572.0,37.0,54.0,N,N,-7.692308,-7.692308,2,8,15,1,6,4,10
ACI,2025-01-10,14,13.0,64021,55975.0,12.0,14.0,N,Y,-4.33213,-4.676259,5,8,12,4,3,8,6
ACL,2025-01-10,44,32.0,32481,14559.0,39.0,123.0,N,N,-5.714286,-5.714286,4,3,18,3,4,6,8
ACLGATI,2025-01-10,69,60.0,303009,121990.0,14.0,148.0,N,N,-5.405405,-7.894737,3,10,12,2,5,4,10
ACMESOLAR,2025-01-10,40,49.0,128262,348626.0,-19.0,-63.0,N,N,1.030928,1.030928,7,5,13,4,3,8,6
ADANIENSOL,2025-01-10,24,27.0,251565,694340.0,-10.0,-63.0,Y,Y,-6.886228,-4.601227,4,6,15,1,6,6,8
ADANIENT,2025-01-10,13,17.0,460111,492027.0,-23.0,-6.0,Y,Y,-5.679702,2.84264,5,6,14,3,4,5,9
ADANIGREEN,2025-01-10,20,29.0,570124,953910.0,-31.0,-40.0,Y,Y,-7.159353,-7.798165,3,6,16,2,5,4,10
ADANIPORTS,2025-01-10,19,29.0,626568,1264457.0,-33.0,-50.0,Y,Y,-6.311637,-5.378486,4,7,14,1,6,4,10
ADANIPOWER,2025-01-10,37,52.0,1056245,1312031.0,-28.0,-19.0,N,Y,-4.62963,-2.830189,4,6,15,0,7,3,11
ADFFOODS,2025-01-10,30,35.0,83676,94725.0,-16.0,-11.0,N,N,-2.479339,-11.278195,3,8,14,2,5,4,10
ADL,2025-01-10,9,22.0,427,1901.0,-57.0,-77.0,N,N,-7.317073,-7.317073,9,4,12,2,5,4,5
ADORWELD,2025-01-10,8,7.0,7334,6410.0,9.0,14.0,N,N,-2.320675,-2.93501,4,7,14,4,3,8,6
ADSL,2025-01-10,34,42.0,171519,106754.0,-20.0,60.0,N,N,-9.0,-9.90099,3,10,12,3,4,5,9
ADVANIHOTR,2025-01-10,26,46.0,22048,35680.0,-42.0,-38.0,N,N,-6.896552,-6.896552,5,5,15,1,6,3,11
ADVENZYMES,2025-01-10,9,15.0,138330,112463.0,-38.0,22.0,N,N,-1.360544,-3.333333,7,4,14,3,4,5,9
AEGISLOG,2025-01-10,40,24.0,343430,322145.0,66.0,6.0,N,Y,4.424779,5.357143,7,5,13,1,6,2,12
AEROFLEX,2025-01-10,35,45.0,324386,219829.0,-22.0,47.0,N,N,-9.090909,-6.976744,4,5,16,2,5,7,7
AETHER,2025-01-10,12,11.0,24600,18702.0,8.0,31.0,N,N,0.544959,-0.27027,6,1,18,3,4,6,8
AFCONS,2025-01-10,31,45.0,525462,625323.0,-31.0,-15.0,N,N,-3.61991,-4.054054,5,3,17,1,6,3,11
AFFLE,2025-01-10,7,11.0,111188,137251.0,-34.0,-18.0,N,Y,-7.065217,-9.28382,5,7,13,2,5,5,9
AFFORDABLE,2025-01-10,10,12.0,7451,10440.0,-15.0,-28.0,N,N,-1.838235,-5.319149,4,6,15,6,1,8,6
AFIL,2025-01-10,125,77.0,183269,168640.0,62.0,8.0,N,N,-5.714286,-15.384615,4,7,14,1,6,5,9
AGARIND,2025-01-10,14,11.0,15309,13784.0,19.0,11.0,N,N,-2.814259,-4.954128,3,6,16,3,4,6,8
AGI,2025-01-10,11,10.0,68338,86788.0,4.0,-21.0,N,N,-4.575163,-12.224449,5,5,15,3,4,4,10
AGIIL,2025-01-10,8,16.0,5751,12606.0,-46.0,-54.0,N,N,-0.948509,-4.941482,5,5,15,5,2,6,8
AGRITECH,2025-01-10,18,21.0,6441,15589.0,-15.0,-58.0,N,N,-5.952381,-1.25,3,5,17,2,5,2,12
AGROPHOS,2025-01-10,53,64.0,22599,27105.0,-16.0,-16.0,N,N,0.0,-5.555556,5,6,14,1,6,3,11
AGSTRA,2025-01-10,107,174.0,335776,593843.0,-38.0,-43.0,N,N,-7.142857,-7.142857,5,5,15,3,4,5,9
AHL,2025-01-10,73,67.0,172485,119392.0,9.0,44.0,N,N,-9.433962,-16.521739,2,9,14,2,5,4,10
AHLADA,2025-01-10,42,35.0,21079,18200.0,19.0,15.0,N,N,0.0,-2.5,3,6,16,1,6,5,9
