SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
360ONE,2025-01-02,12,16,183910,341831,-24,-46,N,Y,2.68714,11.691023,7,1,17,6,1,11,3
3IINFOLTD,2025-01-02,245,173,1728128,466354,41,270,N,N,8.333333,0.0,8,3,14,2,5,3,11
3MINDIA,2025-01-02,2,1,1909,1777,64,7,N,Y,-2.013474,0.313504,5,5,15,2,5,5,9
5PAISA,2025-01-02,13,11,14545,12978,18,12,N,N,-0.502513,-0.502513,4,7,14,3,4,4,10
63MOONS,2025-01-02,36,69,333889,256154,-47,30,N,N,-6.982544,8.430233,8,5,12,3,4,6,6
AAATECH,2025-01-02,26,22,16839,8614,15,95,N,N,0.0,-4.347826,4,8,13,3,4,3,11
AADHARHFC,2025-01-02,24,28,115422,232229,-15,-50,N,Y,-2.247191,-1.694915,6,2,17,2,5,5,9
AAKASH,2025-01-02,226,168,95329,81299,34,17,N,N,0.0,0.0,6,8,11,2,4,2,11
AARON,2025-01-02,13,18,8330,16215,-26,-48,N,N,-7.831325,6.993007,7,6,12,1,6,2,12
AARTECH,2025-01-02,230,96,437656,97597,139,348,N,N,5.882353,12.5,10,2,13,3,4,7,7
AARTIDRUGS,2025-01-02,10,14,28535,105144,-31,-72,N,N,-5.970149,5.0,2,6,17,1,6,4,10
AARTIIND,2025-01-02,43,37,393052,491743,16,-20,Y,Y,-1.714286,-2.824859,3,8,14,4,3,8,6
AARTIPHARM,2025-01-02,22,19,186030,356609,14,-47,N,N,15.789474,16.260163,7,5,13,4,3,6,8
AARTISURF,2025-01-02,13,14,4386,4744,0,-7,N,N,-2.95203,-0.378788,6,5,14,1,2,1,2
AARVI,2025-01-02,25,25,2444,6046,-1,-59,N,N,-1.754386,-6.666667,4,4,17,3,4,5,9
AAVAS,2025-01-02,22,15,165647,117532,44,40,N,Y,-0.284495,4.315476,5,4,16,6,1,11,3
ABAN,2025-01-02,32,31,26316,26824,3,-1,N,N,-3.703704,-3.703704,4,6,15,2,5,2,12
ABB,2025-01-02,9,7,173407,130837,32,32,Y,Y,-1.724733,-8.392283,5,6,14,4,3,6,8
ABBOTINDIA,2025-01-02,1,2,1994,5204,-22,-61,Y,Y,3.062328,7.071842,5,5,15,3,4,5,9
ABCAPITAL,2025-01-02,108,73,1049669,830219,46,26,Y,Y,-2.564103,-3.797468,5,8,12,2,5,4,10
ABDL,2025-01-02,51,60,279790,596530,-15,-53,N,N,2.840909,20.666667,10,3,12,5,2,8,6
ABFRL,2025-01-02,81,92,457105,779704,-11,-41,Y,Y,-1.680672,-4.098361,4,6,15,5,2,7,7
ABGSEC,2025-01-02,66,44,527,635,48,-17,N,N,-2.272727,2.380952,4,5,16,1,5,3,10
ABREL,2025-01-02,6,8,59238,87100,-19,-31,N,Y,-4.94403,-8.280828,2,9,14,1,6,1,13
ABSLAMC,2025-01-02,11,13,136557,216171,-15,-36,N,Y,1.47929,2.083333,3,4,18,3,4,4,10
ABSLBANETF,2025-01-02,355,79,286399,54233,344,428,N,N,0.0,0.0,8,5,12,1,5,4,9
ABSLLIQUID,2025-01-02,321,211,17614,4707,52,274,N,N,-1.900238,2.227723,0,0,25,2,2,6,4
ABSLNN50ET,2025-01-02,34,44,8492,16658,-24,-49,N,N,0.0,-3.225806,6,5,14,4,3,7,7
ABSLPSE,2025-01-02,507,539,192523,450661,-6,-57,N,N,0.0,0.0,2,6,17,4,3,8,6
ACC,2025-01-02,15,11,206532,93422,37,121,Y,Y,-2.394527,-5.726872,5,6,14,3,4,6,8
