TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
Aarti Industries Limited (XNSE:AARTIIND),AARTIIND,NSE:AARTIIND,417.1,415.0,12.45,10.2,437.65,392.35,22.65,5.43%
ABB India Limited (XNSE:ABB),ABB,NSE:ABB,6938.8,6900.0,217.85,179.1,7296.95,6503.05,396.95,5.72%
Abbott India Limited (XNSE:ABBOTINDIA),ABBOTINDIA,NSE:ABBOTINDIA,30137.7,30250.0,368.25,2861.2,33479.45,27020.55,3229.45,10.72%
Aditya Birla Capital Limited (XNSE:ABCAPITAL),ABCAPITAL,NSE:ABCAPITAL,184.78,185.0,5.2,5.35,195.55,174.45,10.55,5.71%
Aditya Birla Fashion and Retail Limited (XNSE:ABFRL),ABFRL,NSE:ABFRL,284.05,285.0,8.85,9.55,303.4,266.6,18.4,6.48%
ACC Limited (XNSE:ACC),ACC,NSE:ACC,2083.65,2080.0,60.2,56.75,2196.95,1963.05,116.95,5.61%
Adani Energy Solutions Limited (XNSE:ADANIENSOL),ADANIENSOL,NSE:ADANIENSOL,814.35,820.0,29.0,33.45,882.45,757.55,62.45,7.67%
Adani Enterprises Limited (XNSE:ADANIENT),ADANIENT,NSE:ADANIENT,2611.25,2620.0,82.95,90.0,2792.95,2447.05,172.95,6.62%
Adani Green Energy Limited (XNSE:ADANIGREEN),ADANIGREEN,NSE:ADANIGREEN,1051.85,1060.0,51.05,58.4,1169.45,950.55,109.45,10.41%
Adani Ports and Special Economic Zone Limited (XNSE:ADANIPORTS),ADANIPORTS,NSE:ADANIPORTS,1234.4,1240.0,35.15,40.25,1315.4,1164.6,75.4,6.11%
Alkem Laboratories Limited (XNSE:ALKEM),ALKEM,NSE:ALKEM,5611.45,5600.0,147.8,133.5,5881.3,5318.7,281.3,5.01%
Ambuja Cements Limited (XNSE:AMBUJACEM),AMBUJACEM,NSE:AMBUJACEM,553.55,555.0,14.1,15.4,584.5,525.5,29.5,5.33%
Angel One Limited (XNSE:ANGELONE),ANGELONE,NSE:ANGELONE,2967.7,2950.0,153.05,134.65,3237.7,2662.3,287.7,9.69%
APL Apollo Tubes Limited (XNSE:APLAPOLLO),APLAPOLLO,NSE:APLAPOLLO,1592.7,1600.0,47.8,54.8,1702.6,1497.4,102.6,6.44%
Apollo Hospitals Enterprise Limited (XNSE:APOLLOHOSP),APOLLOHOSP,NSE:APOLLOHOSP,7464.3,7450.0,159.6,147.25,7756.85,7143.15,306.85,4.11%
Apollo Tyres Limited (XNSE:APOLLOTYRE),APOLLOTYRE,NSE:APOLLOTYRE,527.05,530.0,12.6,15.7,558.3,501.7,28.3,5.37%
Ashok Leyland Limited (XNSE:ASHOKLEY),ASHOKLEY,NSE:ASHOKLEY,236.85,237.5,5.95,6.55,250.0,225.0,12.5,5.28%
Asian Paints Limited (XNSE:ASIANPAINT),ASIANPAINT,NSE:ASIANPAINT,2351.7,2360.0,48.5,56.45,2464.95,2255.05,104.95,4.46%
Astral Limited (XNSE:ASTRAL),ASTRAL,NSE:ASTRAL,1657.4,1660.0,40.5,41.9,1742.4,1577.6,82.4,4.97%
Adani Total Gas Limited (XNSE:ATGL),ATGL,NSE:ATGL,723.15,720.0,34.95,31.75,786.7,653.3,66.7,9.22%
Atul Limited (XNSE:ATUL),ATUL,NSE:ATUL,7014.55,7000.0,216.95,202.15,7419.1,6580.9,419.1,5.97%
AU Small Finance Bank Limited (XNSE:AUBANK),AUBANK,NSE:AUBANK,569.3,570.0,17.35,18.3,605.65,534.35,35.65,6.26%
Aurobindo Pharma Limited (XNSE:AUROPHARMA),AUROPHARMA,NSE:AUROPHARMA,1356.8,1360.0,35.1,37.95,1433.05,1286.95,73.05,5.38%
Axis Bank Limited (XNSE:AXISBANK),AXISBANK,NSE:AXISBANK,1090.85,1090.0,25.75,24.95,1140.7,1039.3,50.7,4.65%
Bajaj Auto Limited (XNSE:BAJAJ-AUTO),BAJAJ-AUTO,NSE:BAJAJ-AUTO,9119.35,9100.0,253.3,235.4,9588.7,8611.3,488.7,5.36%
Bajaj Finserv Limited (XNSE:BAJAJFINSV),BAJAJFINSV,NSE:BAJAJFINSV,1707.0,1700.0,46.2,40.3,1786.5,1613.5,86.5,5.07%
Bajaj Finance Limited (XNSE:BAJFINANCE),BAJFINANCE,NSE:BAJFINANCE,7416.5,7400.0,199.95,186.5,7786.45,7013.55,386.45,5.21%
Balkrishna Industries Limited (XNSE:BALKRISIND),BALKRISIND,NSE:BALKRISIND,2911.3,2920.0,84.55,163.75,3168.3,2671.7,248.3,8.53%
Bandhan Bank Limited (XNSE:BANDHANBNK),BANDHANBNK,NSE:BANDHANBNK,161.97,162.5,5.1,5.55,173.15,151.85,10.65,6.58%
Bank of Baroda (XNSE:BANKBARODA),BANKBARODA,NSE:BANKBARODA,242.44,242.5,7.0,6.9,256.4,228.6,13.9,5.73%
Bank of India (XNSE:BANKINDIA),BANKINDIA,NSE:BANKINDIA,104.39,104.0,3.85,3.35,111.2,96.8,7.2,6.9%
Bata India Limited (XNSE:BATAINDIA),BATAINDIA,NSE:BATAINDIA,1421.15,1420.0,32.8,31.6,1484.4,1355.6,64.4,4.53%
Bharat Electronics Limited (XNSE:BEL),BEL,NSE:BEL,298.35,300.0,7.75,9.35,317.1,282.9,17.1,5.73%
Berger Paints (I) Limited (XNSE:BERGEPAINT),BERGEPAINT,NSE:BERGEPAINT,460.55,460.0,11.75,11.2,482.95,437.05,22.95,4.98%
Bharat Forge Limited (XNSE:BHARATFORG),BHARATFORG,NSE:BHARATFORG,1325.15,1320.0,38.85,33.45,1392.3,1247.7,72.3,5.46%
Bharti Airtel Limited (XNSE:BHARTIARTL),BHARTIARTL,NSE:BHARTIARTL,1618.5,1620.0,32.75,34.45,1687.2,1552.8,67.2,4.15%
Bharat Heavy Electricals Limited (XNSE:BHEL),BHEL,NSE:BHEL,234.32,235.0,7.9,8.3,251.2,218.8,16.2,6.91%
Biocon Limited (XNSE:BIOCON),BIOCON,NSE:BIOCON,374.6,375.0,10.5,11.1,396.6,353.4,21.6,5.77%
Bosch Limited (XNSE:BOSCHLTD),BOSCHLTD,NSE:BOSCHLTD,34679.65,34500.0,945.9,859.8,36305.7,32694.3,1805.7,5.21%
Bharat Petroleum Corporation Limited (XNSE:BPCL),BPCL,NSE:BPCL,297.45,295.0,9.65,7.2,311.85,278.15,16.85,5.66%
Britannia Industries Limited (XNSE:BRITANNIA),BRITANNIA,NSE:BRITANNIA,4805.5,4800.0,98.15,93.55,4991.7,4608.3,191.7,3.99%
BSE Limited (XNSE:BSE),BSE,NSE:BSE,5505.55,5500.0,235.7,231.5,5967.2,5032.8,467.2,8.49%
BIRLASOFT LIMITED (XNSE:BSOFT),BSOFT,NSE:BSOFT,568.25,570.0,18.3,19.9,608.2,531.8,38.2,6.72%
Computer Age Management Services Limited (XNSE:CAMS),CAMS,NSE:CAMS,5198.25,5200.0,182.95,182.95,5565.9,4834.1,365.9,7.04%
Canara Bank (XNSE:CANBK),CANBK,NSE:CANBK,101.77,102.0,3.0,3.15,108.15,95.85,6.15,6.04%
Can Fin Homes Limited (XNSE:CANFINHOME),CANFINHOME,NSE:CANFINHOME,734.3,730.0,25.6,21.0,776.6,683.4,46.6,6.35%
Central Depository Services (India) Limited (XNSE:CDSL),CDSL,NSE:CDSL,1816.8,1820.0,61.85,65.05,1946.9,1693.1,126.9,6.98%
CESC Limited (XNSE:CESC),CESC,NSE:CESC,190.5,190.0,7.7,7.15,204.85,175.15,14.85,7.8%
CG Power and Industrial Solutions Limited (XNSE:CGPOWER),CGPOWER,NSE:CGPOWER,750.55,750.0,26.9,25.95,802.85,697.15,52.85,7.04%
Chambal Fertilizers & Chemicals Limited (XNSE:CHAMBLFERT),CHAMBLFERT,NSE:CHAMBLFERT,509.85,510.0,15.95,16.1,542.05,477.95,32.05,6.29%
Cholamandalam Investment and Finance Company Limited (XNSE:CHOLAFIN),CHOLAFIN,NSE:CHOLAFIN,1277.0,1280.0,39.45,42.85,1362.3,1197.7,82.3,6.44%
Cipla Limited (XNSE:CIPLA),CIPLA,NSE:CIPLA,1544.05,1540.0,37.8,34.5,1612.3,1467.7,72.3,4.68%
Coal India Limited (XNSE:COALINDIA),COALINDIA,NSE:COALINDIA,395.1,395.0,9.45,9.25,413.7,376.3,18.7,4.73%
Coforge Limited (XNSE:COFORGE),COFORGE,NSE:COFORGE,9757.45,9800.0,302.1,344.75,10446.85,9153.15,646.85,6.63%
Colgate Palmolive (India) Limited (XNSE:COLPAL),COLPAL,NSE:COLPAL,2789.6,2780.0,79.95,68.6,2928.55,2631.45,148.55,5.33%
Container Corporation of India Limited (XNSE:CONCOR),CONCOR,NSE:CONCOR,793.25,790.0,23.3,19.7,833.0,747.0,43.0,5.42%
Coromandel International Limited (XNSE:COROMANDEL),COROMANDEL,NSE:COROMANDEL,1968.6,1960.0,58.5,49.8,2068.3,1851.7,108.3,5.5%
Crompton Greaves Consumer Electricals Limited (XNSE:CROMPTON),CROMPTON,NSE:CROMPTON,374.05,375.0,10.85,11.65,397.5,352.5,22.5,6.02%
City Union Bank Limited (XNSE:CUB),CUB,NSE:CUB,176.77,177.5,4.15,4.9,186.55,168.45,9.05,5.12%
Cummins India Limited (XNSE:CUMMINSIND),CUMMINSIND,NSE:CUMMINSIND,3282.15,3300.0,86.6,104.85,3491.45,3108.55,191.45,5.83%
Cyient Limited (XNSE:CYIENT),CYIENT,NSE:CYIENT,1809.15,1800.0,73.4,63.45,1936.85,1663.15,136.85,7.56%
Dabur India Limited (XNSE:DABUR),DABUR,NSE:DABUR,516.6,515.0,11.75,10.0,536.75,493.25,21.75,4.21%
Dalmia Bharat Limited (XNSE:DALBHARAT),DALBHARAT,NSE:DALBHARAT,1825.75,1820.0,58.45,55.0,1933.45,1706.55,113.45,6.21%
Deepak Nitrite Limited (XNSE:DEEPAKNTR),DEEPAKNTR,NSE:DEEPAKNTR,2528.0,2550.0,56.2,77.5,2683.7,2416.3,133.7,5.29%
Delhivery Limited (XNSE:DELHIVERY),DELHIVERY,NSE:DELHIVERY,348.65,350.0,10.4,11.7,372.1,327.9,22.1,6.34%
Divi's Laboratories Limited (XNSE:DIVISLAB),DIVISLAB,NSE:DIVISLAB,6184.85,6200.0,133.1,150.55,6483.65,5916.35,283.65,4.59%
Dixon Technologies (India) Limited (XNSE:DIXON),DIXON,NSE:DIXON,18436.35,18500.0,637.25,692.6,19829.85,17170.15,1329.85,7.21%
DLF Limited (XNSE:DLF),DLF,NSE:DLF,840.1,840.0,22.8,22.25,885.05,794.95,45.05,5.36%
Avenue Supermarts Limited (XNSE:DMART),DMART,NSE:DMART,3617.05,3600.0,126.2,109.35,3835.55,3364.45,235.55,6.51%
Dr. Reddy's Laboratories Limited (XNSE:DRREDDY),DRREDDY,NSE:DRREDDY,1380.7,1380.0,33.15,32.45,1445.6,1314.4,65.6,4.75%
Eicher Motors Limited (XNSE:EICHERMOT),EICHERMOT,NSE:EICHERMOT,5332.3,5350.0,127.6,148.75,5626.35,5073.65,276.35,5.18%
Escorts Kubota Limited (XNSE:ESCORTS),ESCORTS,NSE:ESCORTS,3374.1,3350.0,105.5,81.85,3537.35,3162.65,187.35,5.55%
Exide Industries Limited (XNSE:EXIDEIND),EXIDEIND,NSE:EXIDEIND,430.7,430.0,13.65,12.85,456.5,403.5,26.5,6.15%
The Federal Bank  Limited (XNSE:FEDERALBNK),FEDERALBNK,NSE:FEDERALBNK,207.46,207.5,6.05,6.0,219.55,195.45,12.05,5.81%
GAIL (India) Limited (XNSE:GAIL),GAIL,NSE:GAIL,192.47,192.5,6.05,6.0,204.55,180.45,12.05,6.26%
Glenmark Pharmaceuticals Limited (XNSE:GLENMARK),GLENMARK,NSE:GLENMARK,1646.4,1640.0,50.25,44.15,1734.4,1545.6,94.4,5.73%
