TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
Aarti Industries Limited (XNSE:AARTIIND),AARTIIND,NSE:AARTIIND,418.35,420.0,10.8,12.3,443.1,396.9,23.1,5.52%
ABB India Limited (XNSE:ABB),ABB,NSE:ABB,6955.6,7000.0,183.75,224.05,7407.8,6592.2,407.8,5.86%
Abbott India Limited (XNSE:ABBOTINDIA),ABBOTINDIA,NSE:ABBOTINDIA,30191.05,30250.0,368.25,2861.2,33479.45,27020.55,3229.45,10.7%
Aditya Birla Capital Limited (XNSE:ABCAPITAL),ABCAPITAL,NSE:ABCAPITAL,179.87,180.0,5.25,5.2,190.45,169.55,10.45,5.81%
Aditya Birla Fashion and Retail Limited (XNSE:ABFRL),ABFRL,NSE:ABFRL,283.55,285.0,8.25,9.5,302.75,267.25,17.75,6.26%
ACC Limited (XNSE:ACC),ACC,NSE:ACC,2067.4,2060.0,63.9,53.15,2177.05,1942.95,117.05,5.66%
Adani Energy Solutions Limited (XNSE:ADANIENSOL),ADANIENSOL,NSE:ADANIENSOL,811.4,820.0,32.3,39.95,892.25,747.75,72.25,8.9%
Adani Enterprises Limited (XNSE:ADANIENT),ADANIENT,NSE:ADANIENT,2567.95,2560.0,96.35,87.0,2743.35,2376.65,183.35,7.14%
Adani Green Energy Limited (XNSE:ADANIGREEN),ADANIGREEN,NSE:ADANIGREEN,1051.45,1060.0,53.7,61.55,1175.25,944.75,115.25,10.96%
Adani Ports and Special Economic Zone Limited (XNSE:ADANIPORTS),ADANIPORTS,NSE:ADANIPORTS,1226.95,1220.0,43.8,36.0,1299.8,1140.2,79.8,6.5%
Alkem Laboratories Limited (XNSE:ALKEM),ALKEM,NSE:ALKEM,5609.75,5600.0,151.45,137.2,5888.65,5311.35,288.65,5.15%
Ambuja Cements Limited (XNSE:AMBUJACEM),AMBUJACEM,NSE:AMBUJACEM,542.3,540.0,16.85,14.35,571.2,508.8,31.2,5.75%
Angel One Limited (XNSE:ANGELONE),ANGELONE,NSE:ANGELONE,3019.45,3000.0,156.65,137.4,3294.05,2705.95,294.05,9.74%
APL Apollo Tubes Limited (XNSE:APLAPOLLO),APLAPOLLO,NSE:APLAPOLLO,1591.8,1600.0,49.95,57.2,1707.15,1492.85,107.15,6.73%
Apollo Hospitals Enterprise Limited (XNSE:APOLLOHOSP),APOLLOHOSP,NSE:APOLLOHOSP,7398.65,7400.0,165.35,165.0,7730.35,7069.65,330.35,4.47%
Apollo Tyres Limited (XNSE:APOLLOTYRE),APOLLOTYRE,NSE:APOLLOTYRE,527.4,530.0,13.2,15.8,559.0,501.0,29.0,5.5%
