SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
20MICRONS,2025-01-13,74,,110827,,,,N,N,,,5,7,13,0,1,0,1
360ONE,2025-01-13,12,13.0,428491,270705.0,-11.0,58.0,N,Y,,,6,3,16,9,27,62,34
3IINFOLTD,2025-01-13,144,213.0,325729,916083.0,-32.0,-64.0,N,N,,,5,5,15,0,36,24,72
3MINDIA,2025-01-13,2,1.0,8309,1696.0,53.0,389.0,N,Y,,,4,7,14,14,22,32,64
5PAISA,2025-01-13,9,11.0,22220,14524.0,-19.0,52.0,N,N,,,2,9,14,5,31,31,65
63MOONS,2025-01-13,32,64.0,186036,173082.0,-50.0,7.0,N,N,,,5,7,13,14,22,39,57
AAATECH,2025-01-13,24,24.0,15542,9101.0,0.0,70.0,N,N,,,2,11,12,8,28,18,78
AADHARHFC,2025-01-13,20,24.0,319668,155782.0,-16.0,105.0,N,Y,,,5,1,19,14,22,26,70
AAKASH,2025-01-13,156,168.0,84619,68721.0,-6.0,23.0,N,N,,,4,10,11,0,36,19,60
AARON,2025-01-13,14,13.0,8346,7904.0,11.0,5.0,N,N,,,5,8,12,14,22,31,65
AARTIDRUGS,2025-01-13,11,12.0,47740,100380.0,-13.0,-52.0,N,N,,,2,7,16,6,30,8,88
AARTIIND,2025-01-13,54,44.0,1290003,545235.0,22.0,136.0,Y,Y,,,3,8,14,15,21,47,49
AARTIPHARM,2025-01-13,13,18.0,152306,266385.0,-28.0,-42.0,N,N,,,7,5,13,17,19,37,59
AARTISURF,2025-01-13,10,12.0,9102,5224.0,-11.0,74.0,N,N,,,6,4,15,9,27,16,56
AARVI,2025-01-13,22,27.0,6660,5388.0,-16.0,23.0,N,N,,,2,6,17,5,31,30,66
AAVAS,2025-01-13,18,13.0,205925,89303.0,45.0,130.0,N,Y,,,5,4,16,23,13,82,14
ABAN,2025-01-13,38,34.0,65413,28977.0,12.0,125.0,N,N,,,2,8,15,8,28,32,64
ABB,2025-01-13,5,7.0,197219,152452.0,-23.0,29.0,Y,Y,,,3,9,13,8,28,45,51
ABBOTINDIA,2025-01-13,2,1.0,3290,4862.0,10.0,-32.0,Y,Y,,,4,6,15,16,20,36,60
ABCAPITAL,2025-01-13,117,75.0,4125252,939344.0,55.0,339.0,Y,Y,,,3,10,12,8,28,37,59
ABDL,2025-01-13,52,54.0,442789,405897.0,-3.0,9.0,N,N,,,6,6,13,17,19,49,47
ABFRL,2025-01-13,138,105.0,1258218,970257.0,31.0,29.0,Y,Y,,,3,8,14,20,16,59,37
ABGSEC,2025-01-13,84,91.0,1249,976.0,-7.0,27.0,N,N,,,4,4,17,18,18,28,61
ABINFRA,2025-01-13,45,,6872,,,,N,N,,,5,6,14,1,0,1,0
ABREL,2025-01-13,9,7.0,309867,87899.0,31.0,252.0,N,Y,,,1,13,11,5,31,12,84
ABSLAMC,2025-01-13,10,11.0,135559,200810.0,-12.0,-32.0,N,Y,,,3,6,16,8,28,28,68
ABSLBANETF,2025-01-13,31,337.0,21394,201542.0,-90.0,-89.0,N,N,,,5,9,11,12,24,24,65
ABSLLIQUID,2025-01-13,348,173.0,9020,6255.0,100.0,44.0,N,N,,,0,0,25,12,18,25,40
ABSLNN50ET,2025-01-13,55,41.0,48456,14695.0,34.0,229.0,N,N,,,3,9,13,3,33,40,56
ABSLPSE,2025-01-13,326,773.0,745646,474643.0,-57.0,57.0,N,N,,,1,8,16,3,24,40,47
ACC,2025-01-13,13,10.0,249216,101502.0,23.0,145.0,Y,Y,,,2,10,13,14,22,44,52
ACCELYA,2025-01-13,6,20.0,6622,30972.0,-69.0,-78.0,N,N,,,4,5,16,8,28,32,64
ACCURACY,2025-01-13,219,252.0,242715,241253.0,-13.0,0.0,N,N,,,2,6,17,12,24,13,83
ACE,2025-01-13,8,12.0,249270,136713.0,-28.0,82.0,N,Y,,,6,7,12,5,31,28,68
ACEINTEG,2025-01-13,43,37.0,6409,5997.0,17.0,6.0,N,N,,,2,8,15,3,33,20,76
ACI,2025-01-13,10,13.0,80771,51983.0,-17.0,55.0,N,Y,,,4,9,12,14,22,52,44
ACL,2025-01-13,38,33.0,32898,15716.0,14.0,109.0,N,N,,,4,2,19,6,30,42,54
ACLGATI,2025-01-13,67,63.0,460556,115758.0,6.0,297.0,N,N,,,3,11,11,14,22,23,73
ACMESOLAR,2025-01-13,38,50.0,419897,265697.0,-23.0,58.0,N,N,,,6,6,13,23,13,53,43
ADANIENSOL,2025-01-13,21,27.0,387724,807327.0,-24.0,-51.0,Y,Y,,,4,7,14,0,36,41,55
ADANIENT,2025-01-13,14,18.0,463961,609928.0,-19.0,-23.0,Y,Y,,,5,7,13,8,28,32,64
ADANIGREEN,2025-01-13,22,28.0,840553,915565.0,-19.0,-8.0,Y,Y,,,3,7,15,5,31,29,67
ADANIPORTS,2025-01-13,20,32.0,921112,1474072.0,-37.0,-37.0,Y,Y,,,4,8,13,0,36,20,76
ADANIPOWER,2025-01-13,39,53.0,2005848,1539609.0,-25.0,30.0,N,Y,,,4,7,14,0,36,18,78
ADFFOODS,2025-01-13,31,35.0,58597,97030.0,-11.0,-39.0,N,N,,,3,8,14,8,28,25,71
ADL,2025-01-13,11,21.0,938,1597.0,-48.0,-41.0,N,N,,,8,5,12,3,33,39,33
ADORWELD,2025-01-13,13,8.0,15283,7518.0,68.0,103.0,N,N,,,4,8,13,17,19,49,47
ADSL,2025-01-13,46,43.0,211607,119695.0,7.0,76.0,N,N,,,2,11,12,8,28,44,52
ADVANIHOTR,2025-01-13,33,49.0,63423,37955.0,-33.0,67.0,N,N,,,5,6,14,0,36,36,60
ADVENZYMES,2025-01-13,15,16.0,226222,123671.0,-5.0,82.0,N,N,,,7,5,13,12,24,48,48
AEGISLOG,2025-01-13,38,21.0,424926,256766.0,76.0,65.0,N,Y,,,7,5,13,5,31,7,89
AEROFLEX,2025-01-13,27,46.0,396062,222678.0,-40.0,77.0,N,N,,,4,5,16,5,31,53,43
AETHER,2025-01-13,12,13.0,28804,20623.0,-8.0,39.0,N,N,,,6,2,17,8,28,54,42
AFCONS,2025-01-13,31,42.0,533460,552921.0,-27.0,-3.0,N,N,,,5,4,16,3,33,12,84
AFFLE,2025-01-13,7,10.0,235813,102734.0,-23.0,129.0,N,Y,,,5,8,12,8,28,27,69
AFFORDABLE,2025-01-13,19,12.0,19047,9325.0,49.0,104.0,N,N,,,4,6,15,27,9,63,33
AFIL,2025-01-13,118,85.0,252284,232859.0,38.0,8.0,N,N,,,4,7,14,0,36,39,57
AGARIND,2025-01-13,8,11.0,20475,12194.0,-23.0,67.0,N,N,,,3,7,15,8,28,38,58
AGI,2025-01-13,10,10.0,133010,74696.0,0.0,78.0,N,N,,,5,6,14,14,22,21,75
