TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
One 97 Communications Limited (XNSE:PAYTM),PAYTM,NSE:PAYTM,1024.95,1020.0,50.85,45.15,1116.0,924.0,96.0,9.37%
Piramal Enterprises Limited (XNSE:PEL),PEL,NSE:PEL,1112.9,1120.0,36.3,42.05,1198.35,1041.65,78.35,7.04%
Persistent Systems Limited (XNSE:PERSISTENT),PERSISTENT,NSE:PERSISTENT,6548.0,6500.0,256.95,223.6,6980.55,6019.45,480.55,7.34%
Petronet LNG Limited (XNSE:PETRONET),PETRONET,NSE:PETRONET,343.7,345.0,7.7,8.85,361.55,328.45,16.55,4.82%
Power Finance Corporation Limited (XNSE:PFC),PFC,NSE:PFC,444.95,440.0,19.55,14.75,474.3,405.7,34.3,7.71%
Pidilite Industries Limited (XNSE:PIDILITIND),PIDILITIND,NSE:PIDILITIND,2932.1,2940.0,64.2,70.1,3074.3,2805.7,134.3,4.58%
PI Industries Limited (XNSE:PIIND),PIIND,NSE:PIIND,3756.6,3750.0,115.6,107.05,3972.65,3527.35,222.65,5.93%
Punjab National Bank (XNSE:PNB),PNB,NSE:PNB,102.65,103.0,3.45,3.8,110.25,95.75,7.25,7.06%
PB Fintech Limited (XNSE:POLICYBZR),POLICYBZR,NSE:POLICYBZR,2109.9,2100.0,92.65,84.0,2276.65,1923.35,176.65,8.37%
Polycab India Limited (XNSE:POLYCAB),POLYCAB,NSE:POLYCAB,7297.1,7300.0,223.9,230.1,7754.0,6846.0,454.0,6.22%
Poonawalla Fincorp Limited (XNSE:POONAWALLA),POONAWALLA,NSE:POONAWALLA,314.05,315.0,10.95,12.45,338.4,291.6,23.4,7.45%
Power Grid Corporation of India Limited (XNSE:POWERGRID),POWERGRID,NSE:POWERGRID,310.4,310.0,7.95,6.95,324.9,295.1,14.9,4.8%
Prestige Estates Projects Limited (XNSE:PRESTIGE),PRESTIGE,NSE:PRESTIGE,1691.5,1700.0,67.55,78.85,1846.4,1553.6,146.4,8.66%
PVR INOX Limited (XNSE:PVRINOX),PVRINOX,NSE:PVRINOX,1322.2,1320.0,46.7,44.4,1411.1,1228.9,91.1,6.89%
The Ramco Cements Limited (XNSE:RAMCOCEM),RAMCOCEM,NSE:RAMCOCEM,964.35,960.0,28.75,24.35,1013.1,906.9,53.1,5.51%
RBL Bank Limited (XNSE:RBLBANK),RBLBANK,NSE:RBLBANK,157.45,157.5,7.15,7.05,171.7,143.3,14.2,9.02%
REC Limited (XNSE:RECLTD),RECLTD,NSE:RECLTD,501.75,500.0,21.15,18.7,539.85,460.15,39.85,7.94%
Reliance Industries Limited (XNSE:RELIANCE),RELIANCE,NSE:RELIANCE,1220.1,1220.0,29.25,28.25,1277.5,1162.5,57.5,4.71%
Steel Authority of India Limited (XNSE:SAIL),SAIL,NSE:SAIL,112.8,112.5,4.65,4.15,121.3,103.7,8.8,7.8%
SBI Cards and Payment Services Limited (XNSE:SBICARD),SBICARD,NSE:SBICARD,674.95,675.0,16.55,15.55,707.1,642.9,32.1,4.76%
SBI Life Insurance Company Limited (XNSE:SBILIFE),SBILIFE,NSE:SBILIFE,1410.2,1420.0,32.25,41.7,1493.95,1346.05,73.95,5.24%
State Bank of India (XNSE:SBIN),SBIN,NSE:SBIN,795.9,800.0,18.7,22.05,840.75,759.25,40.75,5.12%
SHREE CEMENT LIMITED (XNSE:SHREECEM),SHREECEM,NSE:SHREECEM,25788.9,25750.0,700.0,1105.0,27555.0,23945.0,1805.0,7.0%
Shriram Finance Limited (XNSE:SHRIRAMFIN),SHRIRAMFIN,NSE:SHRIRAMFIN,2933.9,2950.0,92.0,107.15,3149.15,2750.85,199.15,6.79%
Siemens Limited (XNSE:SIEMENS),SIEMENS,NSE:SIEMENS,6495.55,6500.0,228.05,223.55,6951.6,6048.4,451.6,6.95%
SJVN Limited (XNSE:SJVN),SJVN,NSE:SJVN,104.47,105.0,3.8,4.35,113.15,96.85,8.15,7.8%
Sona BLW Precision Forgings Limited (XNSE:SONACOMS),SONACOMS,NSE:SONACOMS,601.9,600.0,22.25,19.75,642.0,558.0,42.0,6.98%
SRF Limited (XNSE:SRF),SRF,NSE:SRF,2261.3,2260.0,64.2,62.45,2386.65,2133.35,126.65,5.6%
Sun Pharmaceutical Industries Limited (XNSE:SUNPHARMA),SUNPHARMA,NSE:SUNPHARMA,1888.55,1880.0,39.35,31.45,1950.8,1809.2,70.8,3.75%
Sun TV Network Limited (XNSE:SUNTV),SUNTV,NSE:SUNTV,683.75,680.0,22.05,17.6,719.65,640.35,39.65,5.8%
Supreme Industries Limited (XNSE:SUPREMEIND),SUPREMEIND,NSE:SUPREMEIND,4678.55,4700.0,196.3,165.95,5062.25,4337.75,362.25,7.74%
Syngene International Limited (XNSE:SYNGENE),SYNGENE,NSE:SYNGENE,861.45,860.0,25.25,24.35,909.6,810.4,49.6,5.76%
Tata Chemicals Limited (XNSE:TATACHEM),TATACHEM,NSE:TATACHEM,1036.9,1040.0,30.95,33.2,1104.15,975.85,64.15,6.19%
Tata Communications Limited (XNSE:TATACOMM),TATACOMM,NSE:TATACOMM,1713.85,1720.0,51.1,54.45,1825.55,1614.45,105.55,6.16%
TATA CONSUMER PRODUCTS LIMITED (XNSE:TATACONSUM),TATACONSUM,NSE:TATACONSUM,911.7,910.0,23.35,21.25,954.6,865.4,44.6,4.89%
Tata Elxsi Limited (XNSE:TATAELXSI),TATAELXSI,NSE:TATAELXSI,6933.6,6900.0,243.6,198.55,7342.15,6457.85,442.15,6.38%
Tata Motors Limited (XNSE:TATAMOTORS),TATAMOTORS,NSE:TATAMOTORS,740.4,740.0,22.5,21.7,784.2,695.8,44.2,5.97%
Tata Power Company Limited (XNSE:TATAPOWER),TATAPOWER,NSE:TATAPOWER,393.55,395.0,11.6,12.5,419.1,370.9,24.1,6.12%
TATA Steel Limited (XNSE:TATASTEEL),TATASTEEL,NSE:TATASTEEL,138.14,138.0,4.2,3.95,146.15,129.85,8.15,5.9%
Tata Consultancy Services Limited (XNSE:TCS),TCS,NSE:TCS,4141.65,4150.0,94.45,105.5,4349.95,3950.05,199.95,4.83%
Tech Mahindra Limited (XNSE:TECHM),TECHM,NSE:TECHM,1737.05,1740.0,43.45,47.2,1830.65,1649.35,90.65,5.22%
Tube Investments of India Limited (XNSE:TIINDIA),TIINDIA,NSE:TIINDIA,3573.3,3550.0,314.85,241.5,4106.35,2993.65,556.35,15.57%
Titan Company Limited (XNSE:TITAN),TITAN,NSE:TITAN,3288.75,3300.0,73.55,82.6,3456.15,3143.85,156.15,4.75%
Torrent Pharmaceuticals Limited (XNSE:TORNTPHARM),TORNTPHARM,NSE:TORNTPHARM,3400.6,3400.0,95.9,90.95,3586.85,3213.15,186.85,5.49%
Trent Limited (XNSE:TRENT),TRENT,NSE:TRENT,7018.15,7000.0,257.55,233.75,7491.3,6508.7,491.3,7.0%
TVS Motor Company Limited (XNSE:TVSMOTOR),TVSMOTOR,NSE:TVSMOTOR,2377.0,2380.0,68.9,70.4,2519.3,2240.7,139.3,5.86%
United Breweries Limited (XNSE:UBL),UBL,NSE:UBL,2047.15,2040.0,53.95,46.25,2140.2,1939.8,100.2,4.89%
UltraTech Cement Limited (XNSE:ULTRACEMCO),ULTRACEMCO,NSE:ULTRACEMCO,11392.45,11400.0,279.9,282.25,11962.15,10837.85,562.15,4.93%
Union Bank of India (XNSE:UNIONBANK),UNIONBANK,NSE:UNIONBANK,118.58,119.0,3.75,4.55,127.3,110.7,8.3,7.0%
United Spirits Limited (XNSE:UNITDSPR),UNITDSPR,NSE:UNITDSPR,1619.1,1620.0,40.5,41.2,1701.7,1538.3,81.7,5.05%
UPL Limited (XNSE:UPL),UPL,NSE:UPL,504.65,500.0,16.55,11.9,528.45,471.55,28.45,5.64%
Varun Beverages Limited (XNSE:VBL),VBL,NSE:VBL,638.7,640.0,18.85,20.1,678.95,601.05,38.95,6.1%
Vedanta Limited (XNSE:VEDL),VEDL,NSE:VEDL,443.85,440.0,17.6,13.5,471.1,408.9,31.1,7.01%
Voltas Limited (XNSE:VOLTAS),VOLTAS,NSE:VOLTAS,1748.25,1740.0,53.2,48.05,1841.25,1638.75,101.25,5.79%
Wipro Limited (XNSE:WIPRO),WIPRO,NSE:WIPRO,305.9,305.0,10.55,9.65,325.2,284.8,20.2,6.6%
Yes Bank Limited (XNSE:YESBANK),YESBANK,NSE:YESBANK,19.72,20.0,0.6,0.85,21.45,18.55,1.45,7.35%
Zomato Limited (XNSE:ZOMATO),ZOMATO,NSE:ZOMATO,279.75,280.0,11.45,11.75,303.2,256.8,23.2,8.29%
Zydus Lifesciences Limited (XNSE:ZYDUSLIFE),ZYDUSLIFE,NSE:ZYDUSLIFE,966.6,970.0,22.8,25.85,1018.65,921.35,48.65,5.03%
