SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
OIL,2025-01-01,33,43.0,503779,1485501.0,-23.0,-66.0,Y,Y,3.954802,-3.157895,0,9,16,6,1,7,7
OILIETF,2025-01-01,328,537.0,434220,1359728.0,-38.0,-68.0,N,N,0.0,0.0,3,8,14,4,3,6,8
OLAELEC,2025-01-01,296,328.0,3098377,8465639.0,-9.0,-63.0,N,N,-7.692308,-5.263158,6,3,16,2,5,4,10
OLECTRA,2025-01-01,12,12.0,87996,117975.0,-1.0,-25.0,N,Y,1.458671,-3.095975,4,3,18,2,5,3,11
OMAXAUTO,2025-01-01,44,31.0,26968,27505.0,40.0,-1.0,N,N,6.25,4.081633,5,2,18,4,3,5,9
OMAXE,2025-01-01,51,71.0,19612,113669.0,-27.0,-82.0,N,N,4.444444,-4.081633,9,4,12,3,4,4,10
OMINFRAL,2025-01-01,45,60.0,47097,108372.0,-24.0,-56.0,N,N,-5.555556,-1.449275,6,2,17,2,5,5,9
ONELIFECAP,2025-01-01,60,71.0,7971,10153.0,-16.0,-21.0,N,N,0.0,-12.5,7,5,13,2,5,2,12
ONEPOINT,2025-01-01,147,172.0,222601,379953.0,-14.0,-41.0,N,N,-4.166667,-4.166667,4,6,15,3,4,5,9
ONGC,2025-01-01,66,104.0,5903640,5044570.0,-36.0,17.0,Y,Y,-0.990099,-2.912621,4,8,13,3,4,5,9
ONMOBILE,2025-01-01,141,121.0,200539,185820.0,16.0,7.0,N,N,-3.333333,-9.375,4,8,13,1,6,2,12
ONWARDTEC,2025-01-01,27,24.0,27377,33281.0,10.0,-17.0,N,N,0.740741,-0.729927,5,5,15,1,6,2,12
OPTIEMUS,2025-01-01,57,26.0,91937,31685.0,118.0,190.0,N,N,2.356902,-4.402516,7,5,13,0,2,0,2
ORCHPHARMA,2025-01-01,4,7.0,6017,34399.0,-38.0,-82.0,N,N,6.327373,11.705202,7,0,18,3,4,8,6
ORICONENT,2025-01-01,205,255.0,147179,309015.0,-19.0,-52.0,N,N,-5.882353,0.0,5,3,17,3,4,7,7
ORIENTALTL,2025-01-01,317,655.0,37784,94825.0,-51.0,-60.0,N,N,0.0,0.0,9,2,14,1,1,1,1
ORIENTBELL,2025-01-01,22,34.0,5155,10761.0,-33.0,-52.0,N,N,2.189781,6.060606,6,5,14,6,1,12,2
ORIENTCEM,2025-01-01,44,61.0,92115,473579.0,-27.0,-80.0,N,N,2.112676,4.316547,8,4,13,3,4,7,7
ORIENTCER,2025-01-01,41,76.0,22425,144621.0,-45.0,-84.0,N,N,10.0,15.789474,9,4,12,2,5,4,10
ORIENTELEC,2025-01-01,8,34.0,83753,114425.0,-74.0,-26.0,N,N,-2.912621,2.040816,5,5,15,2,5,5,9
ORIENTHOT,2025-01-01,94,53.0,103235,104594.0,76.0,-1.0,N,N,2.666667,0.0,5,7,13,4,3,7,7
ORIENTPPR,2025-01-01,349,169.0,912661,389708.0,105.0,134.0,N,N,0.0,-5.882353,4,7,14,1,6,1,13
ORIENTTECH,2025-01-01,35,46.0,170131,335682.0,-23.0,-49.0,N,N,14.364641,22.485207,9,1,15,3,4,6,8
ORISSAMINE,2025-01-01,2,3.0,1239,2021.0,-18.0,-38.0,N,N,-0.262209,-2.280026,3,5,17,2,5,3,11
ORTINGLOBE,2025-01-01,204,72.0,20150,6973.0,183.0,188.0,N,N,0.0,0.0,6,6,13,1,6,2,12
OSWALAGRO,2025-01-01,68,60.0,16953,16208.0,12.0,4.0,N,N,-3.333333,-6.451613,5,6,14,1,1,1,1
OSWALGREEN,2025-01-01,94,130.0,146534,171128.0,-27.0,-14.0,N,N,-4.761905,-9.090909,7,4,14,2,4,5,8
PAGEIND,2025-01-01,1,2.0,4768,19400.0,-12.0,-75.0,Y,Y,-1.6516,4.187804,4,4,17,5,2,9,5
PAISALO,2025-01-01,221,276.0,489291,780214.0,-19.0,-37.0,N,N,-8.695652,-12.5,5,3,17,0,7,3,11
PAKKA,2025-01-01,42,46.0,69829,167183.0,-9.0,-58.0,N,N,4.615385,-2.857143,5,7,13,5,2,7,7
PALASHSECU,2025-01-01,13,24.0,2464,10259.0,-45.0,-75.0,N,N,-1.408451,2.941176,6,5,14,1,6,3,11
PALREDTEC,2025-01-01,24,33.0,28152,25949.0,-27.0,8.0,N,N,-13.157895,-10.810811,2,10,13,0,2,0,2
PANACEABIO,2025-01-01,43,42.0,52219,50650.0,2.0,3.0,N,N,2.209945,-2.631579,8,3,14,2,0,2,0
PANAMAPET,2025-01-01,16,22.0,8029,22864.0,-28.0,-64.0,N,N,-4.878049,-4.878049,6,4,15,2,5,6,8
PANSARI,2025-01-01,22,40.0,327,291.0,-45.0,12.0,N,N,-1.190476,7.792208,9,5,11,1,1,1,1
PAR,2025-01-01,29,37.0,44289,45138.0,-22.0,-1.0,N,N,1.162791,-4.395604,5,5,15,4,3,6,8
PARACABLES,2025-01-01,232,230.0,687223,1326878.0,0.0,-48.0,N,N,-2.777778,9.375,7,2,16,1,6,3,11
PARADEEP,2025-01-01,160,153.0,2126006,2155315.0,4.0,-1.0,N,N,6.521739,11.363636,9,3,13,5,2,8,6
PARAGMILK,2025-01-01,41,49.0,154372,296855.0,-17.0,-47.0,N,N,0.0,-5.952381,3,6,16,1,6,3,11
PARAS,2025-01-01,12,12.0,22008,45663.0,-2.0,-51.0,N,N,0.952381,-5.145414,7,5,13,2,5,4,10
PARASPETRO,2025-01-01,323,259.0,280178,249061.0,24.0,12.0,N,N,0.0,0.0,7,6,12,0,0,0,0
PARKHOTELS,2025-01-01,71,68.0,619479,251856.0,4.0,145.0,N,N,5.263158,1.265823,8,1,16,3,4,6,8
PATANJALI,2025-01-01,15,21.0,67954,250452.0,-26.0,-72.0,N,Y,3.814714,2.419355,6,8,11,7,0,11,3
PATELENG,2025-01-01,191,193.0,845041,1775804.0,0.0,-52.0,N,N,0.0,-8.333333,6,5,14,2,5,5,9
PATINTLOG,2025-01-01,229,185.0,212638,140702.0,24.0,51.0,N,N,11.111111,0.0,5,8,12,4,3,7,7
PAYTM,2025-01-01,41,44.0,1325540,1712484.0,-6.0,-22.0,Y,Y,2.211302,6.940874,11,2,12,4,3,6,8
