TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
XNSE:NTPC,NTPC,NSE:NTPC,299.6,300.0,7.6,7.85,315.45,284.55,15.45,5.16%
XNSE:NYKAA,NYKAA,NSE:NYKAA,163.94,165.0,4.75,5.85,175.6,154.4,10.6,6.47%
XNSE:OBEROIRLTY,OBEROIRLTY,NSE:OBEROIRLTY,2011.35,2020.0,65.05,72.8,2157.85,1882.15,137.85,6.85%
XNSE:OFSS,OFSS,NSE:OFSS,10839.2,10750.0,488.9,406.45,11645.35,9854.65,895.35,8.26%
XNSE:OIL,OIL,NSE:OIL,453.2,450.0,18.05,14.6,482.65,417.35,32.65,7.2%
XNSE:ONGC,ONGC,NSE:ONGC,256.8,257.5,6.15,6.85,270.5,244.5,13.0,5.06%
XNSE:PAGEIND,PAGEIND,NSE:PAGEIND,45747.5,45500.0,1206.8,985.45,47692.25,43307.75,2192.25,4.79%
XNSE:PAYTM,PAYTM,NSE:PAYTM,791.15,800.0,35.15,43.6,878.75,721.25,78.75,9.95%
XNSE:PEL,PEL,NSE:PEL,948.35,940.0,36.8,28.55,1005.35,874.65,65.35,6.89%
XNSE:PERSISTENT,PERSISTENT,NSE:PERSISTENT,6011.75,6000.0,222.1,209.7,6431.8,5568.2,431.8,7.18%
XNSE:PETRONET,PETRONET,NSE:PETRONET,315.35,315.0,8.45,7.9,331.35,298.65,16.35,5.18%
XNSE:PFC,PFC,NSE:PFC,389.95,390.0,14.2,14.0,418.2,361.8,28.2,7.23%
XNSE:PIDILITIND,PIDILITIND,NSE:PIDILITIND,2809.05,2800.0,75.05,66.15,2941.2,2658.8,141.2,5.03%
XNSE:PIIND,PIIND,NSE:PIIND,3404.95,3400.0,95.3,88.75,3584.05,3215.95,184.05,5.41%
XNSE:PNB,PNB,NSE:PNB,95.81,96.0,2.9,3.15,102.05,89.95,6.05,6.31%
XNSE:POLICYBZR,POLICYBZR,NSE:POLICYBZR,1698.45,1700.0,70.55,71.75,1842.3,1557.7,142.3,8.38%
XNSE:POLYCAB,POLYCAB,NSE:POLYCAB,6278.35,6300.0,205.25,224.0,6729.25,5870.75,429.25,6.84%
XNSE:POONAWALLA,POONAWALLA,NSE:POONAWALLA,299.6,300.0,9.45,10.0,319.45,280.55,19.45,6.49%
XNSE:POWERGRID,POWERGRID,NSE:POWERGRID,288.85,290.0,6.25,7.4,303.65,276.35,13.65,4.73%
XNSE:PRESTIGE,PRESTIGE,NSE:PRESTIGE,1417.6,1400.0,59.95,43.75,1503.7,1296.3,103.7,7.32%
XNSE:PVRINOX,PVRINOX,NSE:PVRINOX,1082.8,1080.0,35.65,32.9,1148.55,1011.45,68.55,6.33%
XNSE:RAMCOCEM,RAMCOCEM,NSE:RAMCOCEM,881.75,880.0,23.75,22.0,925.75,834.25,45.75,5.19%
XNSE:RBLBANK,RBLBANK,NSE:RBLBANK,148.9,150.0,4.65,6.3,160.95,139.05,10.95,7.35%
XNSE:RECLTD,RECLTD,NSE:RECLTD,448.05,450.0,16.15,17.7,483.85,416.15,33.85,7.55%
XNSE:RELIANCE,RELIANCE,NSE:RELIANCE,1243.5,1240.0,27.05,23.6,1290.65,1189.35,50.65,4.07%
XNSE:SAIL,SAIL,NSE:SAIL,100.25,100.0,3.65,3.3,106.95,93.05,6.95,6.93%
XNSE:SBICARD,SBICARD,NSE:SBICARD,716.1,715.0,19.75,18.5,753.25,676.75,38.25,5.34%
XNSE:SBILIFE,SBILIFE,NSE:SBILIFE,1470.85,1480.0,31.7,40.65,1552.35,1407.65,72.35,4.92%
XNSE:SBIN,SBIN,NSE:SBIN,730.65,730.0,17.35,16.45,763.8,696.2,33.8,4.63%
XNSE:SHREECEM,SHREECEM,NSE:SHREECEM,24688.0,24750.0,1489.5,671.95,26911.45,22588.55,2161.45,8.76%
XNSE:SHRIRAMFIN,SHRIRAMFIN,NSE:SHRIRAMFIN,523.25,520.0,21.85,18.15,560.0,480.0,40.0,7.64%
XNSE:SIEMENS,SIEMENS,NSE:SIEMENS,5816.25,5800.0,171.2,155.1,6126.3,5473.7,326.3,5.61%
XNSE:SJVN,SJVN,NSE:SJVN,89.53,90.0,3.2,3.6,96.8,83.2,6.8,7.6%
XNSE:SONACOMS,SONACOMS,NSE:SONACOMS,562.3,560.0,21.05,19.15,600.2,519.8,40.2,7.15%
XNSE:SRF,SRF,NSE:SRF,2517.4,2520.0,64.95,67.95,2652.9,2387.1,132.9,5.28%
XNSE:SUNPHARMA,SUNPHARMA,NSE:SUNPHARMA,1753.9,1760.0,28.65,34.9,1823.55,1696.45,63.55,3.62%
XNSE:SUNTV,SUNTV,NSE:SUNTV,645.05,650.0,14.7,19.65,684.35,615.65,34.35,5.33%
XNSE:SUPREMEIND,SUPREMEIND,NSE:SUPREMEIND,4285.25,4300.0,161.3,177.45,4638.75,3961.25,338.75,7.91%
