SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
SUPERHOUSE,2024-12-30,16,17.0,2225,3670.0,-5.0,-39.0,N,N,,,6,3,16,5,4,5,11
SUPRAJIT,2024-12-30,8,8.0,28217,30936.0,3.0,-8.0,N,N,,,4,6,15,3,6,6,10
SUPREMEIND,2024-12-30,7,7.0,149433,105928.0,-5.0,41.0,Y,Y,,,7,5,13,4,5,9,7
SUPRIYA,2024-12-30,16,16.0,184894,105469.0,4.0,75.0,N,N,,,4,7,14,2,7,4,12
SURAJEST,2024-12-30,29,23.0,53645,47146.0,25.0,13.0,N,N,,,5,6,14,5,4,6,10
SURAKSHA,2024-12-30,22,35.0,128019,295321.0,-36.0,-56.0,N,N,,,3,2,10,5,4,9,7
SURANAT&P,2024-12-30,167,166.0,209840,135202.0,0.0,55.0,N,N,,,8,5,12,2,7,5,11
SURYALAXMI,2024-12-30,29,44.0,10470,49534.0,-32.0,-78.0,N,N,,,8,3,14,1,8,4,12
SURYAROSNI,2024-12-30,20,17.0,177140,67447.0,15.0,162.0,N,N,,,5,6,14,3,6,5,11
SURYODAY,2024-12-30,31,36.0,74566,121326.0,-13.0,-38.0,N,N,,,5,8,12,0,9,1,15
SUTLEJTEX,2024-12-30,61,85.0,43714,166622.0,-28.0,-73.0,N,N,,,8,4,13,0,9,2,14
SUVEN,2024-12-30,55,67.0,76496,182096.0,-17.0,-57.0,N,N,,,7,4,14,1,8,3,13
SUVENPHAR,2024-12-30,15,11.0,868392,138356.0,33.0,527.0,N,Y,,,5,7,13,4,5,8,8
SUVIDHAA,2024-12-30,296,377.0,642110,806164.0,-21.0,-20.0,N,N,,,9,3,13,3,6,5,11
SUYOG,2024-12-30,12,9.0,40810,29310.0,42.0,39.0,N,N,,,6,4,15,4,5,6,10
SUZLON,2024-12-30,286,332.0,26500905,23699630.0,-13.0,11.0,N,Y,,,6,6,13,3,6,6,10
SWANENERGY,2024-12-30,44,58.0,776487,1658977.0,-24.0,-53.0,N,Y,,,7,2,16,1,8,3,13
SWARAJENG,2024-12-30,3,3.0,2283,3514.0,4.0,-35.0,N,N,,,8,5,12,3,6,5,11
SWELECTES,2024-12-30,6,7.0,10259,12707.0,-9.0,-19.0,N,N,,,7,4,14,1,8,3,13
SWIGGY,2024-12-30,70,85.0,1213818,4752180.0,-17.0,-74.0,N,N,,,10,3,12,1,8,4,12
SWSOLAR,2024-12-30,32,38.0,330974,714854.0,-15.0,-53.0,N,Y,,,7,4,14,3,6,5,11
SYMPHONY,2024-12-30,6,6.0,13976,30007.0,-4.0,-53.0,N,N,,,5,6,14,6,3,8,8
SYNCOMF,2024-12-30,240,255.0,1003270,1307785.0,-5.0,-23.0,N,N,,,7,4,14,2,7,4,12
SYNGENE,2024-12-30,14,15.0,602990,365093.0,-2.0,65.0,Y,Y,,,6,4,15,5,4,7,9
SYRMA,2024-12-30,26,30.0,369968,444924.0,-12.0,-16.0,N,Y,,,8,3,14,2,7,5,11
