Symbol,Lot Size,Future OI,Change (Future OI),# of lots change (Future OI),% Change in Future_OI,PE OI,Change (PE OI),# of lots change (PE OI),% Change (PE OI),CE OI,Change (CE OI),# of lots change (CE OI),% Change (CE OI),VWAP,CLOSE PRICE,Change CE / PE Ratio (OI),Delivery %,% Change in Price,% Change in Price From Low,% Change in Price From High,Decision (Based on Options,Decision (Based on Futures,Decision (Based on Price
NESTLEIND,200,9015200,-111000,-555.0,-1.216278,1580200,-21200,-106.0,-1.323842,1796400,53600,268.0,3.075511,2225.99,2232.7,-2.528302,67.9,0.014771,0.015764,0.002346,None,None,Strong. Price Close Above VWAP.
NHPC,6400,47552000,4582400,716.0,10.664284,14131200,1843200,288.0,15.0,21657600,5433600,849.0,33.491124,83.36,83.09,2.947917,30.57,0.007518,0.007029,0.016686,None,None,Weak. Price Close Below VWAP.
NMDC,13500,254529000,1269000,94.0,0.501066,99684000,4468500,331.0,4.693038,171112500,4954500,367.0,2.9818,67.97,67.66,1.108761,37.37,-0.000443,0.003113,0.013559,None,None,Weak. Price Close Below VWAP.
NTPC,1500,125223000,-354000,-236.0,-0.281899,22066500,261000,174.0,1.196946,35281500,111000,74.0,0.315605,341.16,339.85,0.425287,44.23,0.005473,0.008307,0.013498,None,None,Weak. Price Close Below VWAP.
NYKAA,2950,26145850,1973550,669.0,8.164511,5554850,761100,258.0,15.876923,8637600,1330450,451.0,18.207509,168.19,167.84,1.748062,56.6,0.015243,0.015243,0.011485,None,None,Weak. Price Close Below VWAP.
OBEROIRLTY,350,5450200,-52850,-151.0,-0.960377,1045450,37450,107.0,3.715278,2098250,121450,347.0,6.143768,2266.06,2255.2,3.242991,50.02,-0.011852,0.004543,0.016742,None,None,Weak. Price Close Below VWAP.
OFSS,50,716200,18100,362.0,2.592752,187400,-4800,-96.0,-2.497399,262400,31650,633.0,13.716143,12572.63,12518.05,-6.59375,34.73,-0.010302,0.007063,0.021939,Possible Sell,Possible Sell,Weak. Price Close Below VWAP.
OIL,1075,8791350,578350,538.0,7.041885,2466050,754650,702.0,44.095477,3154050,706275,657.0,28.853755,483.58,481.1,0.935897,22.22,0.03842,0.032403,0.020662,None,Possible Buy,Weak. Price Close Below VWAP.
ONGC,1925,109388125,1576575,819.0,1.462343,33933900,10468150,5438.0,44.610336,46567675,13398000,6960.0,40.392316,257.11,258.89,1.279882,19.35,0.052099,0.043953,0.014691,None,Possible Buy,Strong. Price Close Above VWAP.
PAGEIND,15,183510,-720,-48.0,-0.390816,22920,1065,71.0,4.873027,24390,405,27.0,1.688555,48142.04,47941.2,0.380282,54.84,-0.004306,0.003668,0.013453,None,None,Weak. Price Close Below VWAP.
PAYTM,650,12371450,-592150,-911.0,-4.56779,5308550,522600,804.0,10.919462,7889050,30550,47.0,0.388751,993.42,982.8,0.058458,20.66,0.000407,0.005937,0.024565,Possible Buy,Possible Sell,Weak. Price Close Below VWAP.
PEL,750,9469500,-129000,-172.0,-1.34396,2082750,44250,59.0,2.170714,2754750,30000,40.0,1.101018,1109.44,1095.85,0.677966,36.77,-0.026301,0.005367,0.031378,None,Possible Sell,Weak. Price Close Below VWAP.
PERSISTENT,100,1739400,23500,235.0,1.369544,555100,7100,71.0,1.29562,737000,33500,335.0,4.761905,6400.66,6405.95,4.71831,41.08,-0.011603,0.014933,0.018674,None,None,Strong. Price Close Above VWAP.
PETRONET,1500,33301500,-178500,-119.0,-0.533154,12238500,-993000,-662.0,-7.504818,17487000,-1752000,-1168.0,-9.106502,331.7,329.45,1.76435,53.3,0.005187,0.001368,0.014361,None,None,Weak. Price Close Below VWAP.
PFC,1300,66725100,737100,567.0,1.117021,17148300,521300,401.0,3.135262,22669400,-834600,-642.0,-3.550885,468.31,464.8,-1.600998,33.05,0.011865,0.009776,0.021165,None,Possible Sell,Weak. Price Close Below VWAP.
PIDILITIND,250,3261250,196000,784.0,6.394258,558250,3000,12.0,0.540297,755000,86500,346.0,12.939417,2926.32,2932.35,28.833333,65.99,0.001948,0.007992,0.009207,Possible Sell,None,Strong. Price Close Above VWAP.
PIIND,125,1770125,38000,304.0,2.193837,326375,48625,389.0,17.506751,455250,99750,798.0,28.059072,3674.8,3668.4,2.051414,74.39,-0.013699,0.011679,0.017581,None,None,Weak. Price Close Below VWAP.
PNB,8000,353968000,-2848000,-356.0,-0.79817,70288000,1552000,194.0,2.257914,100816000,1472000,184.0,1.48172,106.36,106.4,0.948454,44.37,0.008722,0.011215,0.007925,None,None,Strong. Price Close Above VWAP.
POLICYBZR,325,2776150,-37050,-114.0,-1.317006,789750,43225,133.0,5.790161,1113450,206700,636.0,22.795699,2215.31,2215.85,4.781955,35.88,0.005719,0.018782,0.013819,Possible Sell,None,Strong. Price Close Above VWAP.
POLYCAB,125,1520250,-26625,-213.0,-1.721212,502375,38000,304.0,8.183042,570875,82250,658.0,16.83295,7261.06,7208.0,2.164474,41.92,-0.024714,0.005342,0.030922,Possible Sell,Possible Sell,Weak. Price Close Below VWAP.
POONAWALLA,1450,13714100,1281800,884.0,10.31024,2272150,263900,182.0,13.140794,3413300,245050,169.0,7.734554,322.5,319.6,0.928571,45.4,-0.005755,0.004873,0.020383,Possible Buy,Possible Sell,Weak. Price Close Below VWAP.
