SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
20MICRONS,2025-01-16,37,65.0,62673,95327.0,-42.0,-34.0,N,N,,,5,7,13,1,7,1,7
360ONE,2025-01-16,31,13.0,834572,255921.0,141.0,226.0,N,Y,,,5,3,17,14,10,54,37
3IINFOLTD,2025-01-16,135,218.0,156867,969163.0,-38.0,-83.0,N,N,,,3,5,17,1,23,25,66
3MINDIA,2025-01-16,2,1.0,4304,2111.0,25.0,103.0,N,Y,,,4,7,14,4,20,33,58
5PAISA,2025-01-16,10,11.0,10275,14607.0,-12.0,-29.0,N,N,,,1,9,15,2,22,31,60
63MOONS,2025-01-16,42,66.0,118911,177303.0,-36.0,-32.0,N,N,,,5,7,13,1,23,39,52
AAATECH,2025-01-16,76,26.0,17750,9841.0,190.0,80.0,N,N,,,2,10,13,5,19,17,74
AADHARHFC,2025-01-16,51,24.0,289595,160068.0,104.0,80.0,N,Y,,,5,1,19,0,24,25,66
AAKASH,2025-01-16,228,167.0,81565,68914.0,36.0,18.0,N,N,,,3,11,11,0,23,19,54
AARON,2025-01-16,11,12.0,1577,7831.0,-13.0,-79.0,N,N,,,3,9,13,2,22,33,58
AARTIDRUGS,2025-01-16,14,12.0,72115,80475.0,17.0,-10.0,N,N,,,3,7,15,1,23,7,84
AARTIIND,2025-01-16,53,46.0,614110,631218.0,15.0,-2.0,Y,Y,,,4,7,14,18,6,47,44
AARTIPHARM,2025-01-16,16,17.0,120880,176897.0,-4.0,-31.0,N,N,,,7,4,14,14,10,26,65
AARTISURF,2025-01-16,7,12.0,3952,5363.0,-35.0,-26.0,N,N,,,6,5,14,3,21,16,64
AARVI,2025-01-16,27,28.0,2805,5761.0,-4.0,-51.0,N,N,,,1,6,18,2,22,31,60
AAVAS,2025-01-16,6,13.0,29107,91194.0,-51.0,-68.0,N,Y,,,4,4,17,14,10,72,19
ABAN,2025-01-16,60,36.0,27180,32649.0,65.0,-16.0,N,N,,,2,8,15,5,19,34,57
ABB,2025-01-16,5,7.0,65319,165404.0,-19.0,-60.0,Y,Y,,,2,9,14,6,18,47,44
ABBOTINDIA,2025-01-16,2,1.0,5327,3759.0,25.0,41.0,Y,Y,,,4,8,13,17,7,40,51
ABCAPITAL,2025-01-16,80,78.0,1622320,1161655.0,2.0,39.0,Y,Y,,,3,9,13,5,19,39,52
ABDL,2025-01-16,42,52.0,171980,360134.0,-19.0,-52.0,N,N,,,6,6,13,5,19,38,53
ABFRL,2025-01-16,124,110.0,1369242,1007838.0,12.0,35.0,Y,Y,,,2,9,14,18,6,59,32
ABGSEC,2025-01-16,4,107.0,53,1116.0,-95.0,-95.0,N,N,,,3,5,17,9,15,23,61
ABINFRA,2025-01-16,48,79.0,4776,17764.0,-39.0,-73.0,N,N,,,6,5,14,6,2,6,2
ABREL,2025-01-16,6,7.0,77944,94752.0,-16.0,-17.0,N,Y,,,2,11,12,2,22,14,77
ABSLAMC,2025-01-16,7,11.0,104244,194187.0,-32.0,-46.0,N,Y,,,4,5,16,3,21,26,65
ABSLBANETF,2025-01-16,156,434.0,56405,258958.0,-64.0,-78.0,N,N,,,7,8,10,18,6,30,54
ABSLLIQUID,2025-01-16,76,193.0,904,6971.0,-60.0,-87.0,N,N,,,0,0,25,16,1,27,28
ABSLNN50ET,2025-01-16,23,41.0,6506,16398.0,-44.0,-60.0,N,N,,,1,8,16,5,19,41,50
ABSLPSE,2025-01-16,111,806.0,115203,515372.0,-86.0,-77.0,N,N,,,2,8,15,5,19,41,41
ACC,2025-01-16,13,11.0,98241,120973.0,22.0,-18.0,Y,Y,,,3,9,13,14,10,48,43
ACCELYA,2025-01-16,9,10.0,12678,15619.0,-13.0,-18.0,N,N,,,4,6,15,2,22,31,60
ACCURACY,2025-01-16,266,266.0,174525,259576.0,0.0,-32.0,N,N,,,1,6,18,16,8,16,75
