TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
Persistent Systems Limited (XNSE:PERSISTENT),PERSISTENT,NSE:PERSISTENT,6431.4,6400.0,243.75,221.8,6865.55,5934.45,465.55,7.24%
Petronet LNG Limited (XNSE:PETRONET),PETRONET,NSE:PETRONET,342.3,340.0,9.4,6.95,356.35,323.65,16.35,4.78%
Power Finance Corporation Limited (XNSE:PFC),PFC,NSE:PFC,455.85,460.0,14.45,18.2,492.65,427.35,32.65,7.16%
Pidilite Industries Limited (XNSE:PIDILITIND),PIDILITIND,NSE:PIDILITIND,2933.75,2940.0,66.25,71.4,3077.65,2802.35,137.65,4.69%
PI Industries Limited (XNSE:PIIND),PIIND,NSE:PIIND,3764.9,3750.0,121.2,104.35,3975.55,3524.45,225.55,5.99%
Punjab National Bank (XNSE:PNB),PNB,NSE:PNB,102.25,102.0,3.75,3.45,109.2,94.8,7.2,7.04%
PB Fintech Limited (XNSE:POLICYBZR),POLICYBZR,NSE:POLICYBZR,2067.2,2050.0,99.3,82.4,2231.7,1868.3,181.7,8.79%
Polycab India Limited (XNSE:POLYCAB),POLYCAB,NSE:POLYCAB,7188.35,7200.0,214.7,228.1,7642.8,6757.2,442.8,6.16%
Poonawalla Fincorp Limited (XNSE:POONAWALLA),POONAWALLA,NSE:POONAWALLA,316.2,315.0,12.85,11.65,339.5,290.5,24.5,7.75%
Power Grid Corporation of India Limited (XNSE:POWERGRID),POWERGRID,NSE:POWERGRID,311.35,310.0,8.15,6.75,324.9,295.1,14.9,4.79%
Prestige Estates Projects Limited (XNSE:PRESTIGE),PRESTIGE,NSE:PRESTIGE,1752.75,1750.0,80.75,77.5,1908.25,1591.75,158.25,9.03%
PVR INOX Limited (XNSE:PVRINOX),PVRINOX,NSE:PVRINOX,1346.55,1340.0,51.3,45.15,1436.45,1243.55,96.45,7.16%
The Ramco Cements Limited (XNSE:RAMCOCEM),RAMCOCEM,NSE:RAMCOCEM,973.75,970.0,28.55,24.65,1023.2,916.8,53.2,5.46%
