SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
360ONE,2025-01-03,13,16.0,192599,342213.0,-16.0,-43.0,N,Y,2.079395,7.142857,7,1,17,5,2,10,4
3IINFOLTD,2025-01-03,262,175.0,690407,535898.0,49.0,28.0,N,N,8.333333,0.0,7,3,15,2,5,2,12
3MINDIA,2025-01-03,1,1.0,972,1821.0,-1.0,-46.0,N,Y,-2.192747,-0.078327,5,5,15,2,5,4,10
5PAISA,2025-01-03,10,11.0,10324,13420.0,-10.0,-23.0,N,N,0.0,-1.0,4,6,15,2,5,3,11
63MOONS,2025-01-03,34,69.0,169330,255520.0,-49.0,-33.0,N,N,-5.025126,4.132231,7,5,13,4,3,7,5
AAATECH,2025-01-03,17,22.0,6827,9239.0,-20.0,-26.0,N,N,0.0,-4.347826,4,8,13,2,5,3,11
AADHARHFC,2025-01-03,24,27.0,174215,217592.0,-12.0,-19.0,N,Y,-0.558659,0.564972,7,2,16,3,4,5,9
AAKASH,2025-01-03,124,172.0,49778,83656.0,-27.0,-40.0,N,N,0.0,0.0,5,8,12,2,4,2,11
AARON,2025-01-03,13,18.0,6455,16298.0,-24.0,-60.0,N,N,-1.863354,11.267606,6,6,13,2,5,2,12
AARTECH,2025-01-03,217,108.0,215949,124551.0,101.0,73.0,N,N,15.151515,22.580645,9,2,14,4,3,7,7
AARTIDRUGS,2025-01-03,10,14.0,36236,102296.0,-27.0,-64.0,N,N,-1.04712,5.0,2,6,17,0,7,3,11
AARTIIND,2025-01-03,47,37.0,405697,494061.0,27.0,-17.0,Y,Y,0.574713,-1.685393,4,8,13,3,4,7,7
AARTIPHARM,2025-01-03,19,19.0,204462,361908.0,0.0,-43.0,N,N,4.887218,14.344262,7,6,12,3,4,5,9
AARTISURF,2025-01-03,12,14.0,7843,4625.0,-7.0,69.0,N,N,347.540984,2.247191,6,5,14,1,3,1,3
AARVI,2025-01-03,37,25.0,8750,5194.0,51.0,68.0,N,N,-3.448276,-5.084746,4,5,16,3,4,4,10
AAVAS,2025-01-03,11,16.0,86680,122227.0,-30.0,-29.0,N,Y,1.141227,4.726736,5,4,16,5,2,10,4
ABAN,2025-01-03,33,31.0,37004,25424.0,5.0,45.0,N,N,3.846154,0.0,4,6,15,2,5,2,12
ABB,2025-01-03,6,7.0,76627,139982.0,-17.0,-45.0,Y,Y,-3.112175,-11.441075,5,6,14,4,3,5,9
ABBOTINDIA,2025-01-03,1,2.0,2450,5065.0,-25.0,-51.0,Y,Y,2.02641,7.273839,5,5,15,2,5,4,10
ABCAPITAL,2025-01-03,101,75.0,878434,863112.0,34.0,1.0,Y,Y,-1.282051,-3.75,4,8,13,2,5,3,11
ABDL,2025-01-03,47,59.0,322696,589421.0,-19.0,-45.0,N,N,2.247191,18.954248,9,3,13,5,2,8,6
ABFRL,2025-01-03,146,92.0,1294519,763086.0,58.0,69.0,Y,Y,-1.680672,-4.098361,3,7,15,4,3,6,8
ABGSEC,2025-01-03,2,49.0,14,672.0,-95.0,-97.0,N,N,0.0,4.761905,4,4,17,2,4,4,9
ABREL,2025-01-03,6,8.0,64844,87930.0,-21.0,-26.0,N,Y,-5.876777,-11.339286,2,10,13,1,6,1,13
