SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
20MICRONS,2025-01-13,74,,110827,,,,N,N,-11.009174,1.041667,5,7,13,0,1,0,1
360ONE,2025-01-13,12,14.0,428491,310066.0,-17.0,38.0,N,Y,-11.666667,-8.445298,6,3,16,1,6,7,7
3IINFOLTD,2025-01-13,144,181.0,325729,565341.0,-20.0,-42.0,N,N,-7.692308,0.0,5,5,15,0,7,2,12
3MINDIA,2025-01-13,2,1.0,8309,1985.0,55.0,318.0,N,Y,-1.387474,-3.690093,4,7,14,3,4,5,9
5PAISA,2025-01-13,9,11.0,22220,13383.0,-14.0,66.0,N,N,-9.090909,-9.547739,2,9,14,1,6,4,10
63MOONS,2025-01-13,32,53.0,186036,157621.0,-39.0,18.0,N,N,-3.968254,-9.476309,5,7,13,2,5,5,9
AAATECH,2025-01-13,24,25.0,15542,9186.0,-1.0,69.0,N,N,-6.818182,-6.818182,2,11,12,2,5,5,9
AADHARHFC,2025-01-13,20,25.0,319668,152989.0,-18.0,108.0,N,Y,-1.123596,-1.123596,5,1,19,2,5,4,10
AAKASH,2025-01-13,156,176.0,84619,77449.0,-10.0,9.0,N,N,0.0,0.0,4,10,11,0,7,2,11
AARON,2025-01-13,14,13.0,8346,8387.0,8.0,0.0,N,N,-5.063291,-9.638554,5,8,12,2,5,3,11
AARTIDRUGS,2025-01-13,11,14.0,47740,109644.0,-21.0,-56.0,N,N,-3.174603,-8.955224,2,7,16,1,6,2,12
AARTIIND,2025-01-13,54,44.0,1290003,611326.0,23.0,111.0,Y,Y,1.142857,1.142857,3,8,14,3,4,7,7
AARTIPHARM,2025-01-13,13,17.0,152306,320921.0,-23.0,-52.0,N,N,2.508961,15.789474,7,5,13,3,4,7,7
AARTISURF,2025-01-13,10,11.0,9102,5208.0,-7.0,74.0,N,N,-6.227106,-5.535055,6,4,15,2,5,3,7
AARVI,2025-01-13,22,26.0,6660,5235.0,-13.0,27.0,N,N,-7.142857,-8.77193,2,6,17,1,6,4,10
AAVAS,2025-01-13,18,12.0,205925,102400.0,48.0,101.0,N,Y,0.0,0.853485,5,4,16,4,3,10,4
