TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
UltraTech Cement Limited (XNSE:ULTRACEMCO),ULTRACEMCO,NSE:ULTRACEMCO,11817.6,11800.0,277.55,271.35,12348.9,11251.1,548.9,4.64%
Union Bank of India (XNSE:UNIONBANK),UNIONBANK,NSE:UNIONBANK,124.6,125.0,4.6,4.95,134.55,115.45,9.55,7.66%
United Spirits Limited (XNSE:UNITDSPR),UNITDSPR,NSE:UNITDSPR,1692.35,1700.0,37.75,45.95,1783.7,1616.3,83.7,4.95%
UPL Limited (XNSE:UPL),UPL,NSE:UPL,532.15,530.0,15.35,13.0,558.35,501.65,28.35,5.33%
Varun Beverages Limited (XNSE:VBL),VBL,NSE:VBL,655.75,660.0,17.6,21.75,699.35,620.65,39.35,6.0%
Vedanta Limited (XNSE:VEDL),VEDL,NSE:VEDL,460.55,460.0,14.55,13.95,488.5,431.5,28.5,6.19%
Voltas Limited (XNSE:VOLTAS),VOLTAS,NSE:VOLTAS,1829.25,1820.0,54.1,45.1,1919.2,1720.8,99.2,5.42%
Wipro Limited (XNSE:WIPRO),WIPRO,NSE:WIPRO,294.65,295.0,10.0,10.15,315.15,274.85,20.15,6.84%
Yes Bank Limited (XNSE:YESBANK),YESBANK,NSE:YESBANK,20.07,20.0,0.8,0.7,21.5,18.5,1.5,7.47%
Zomato Limited (XNSE:ZOMATO),ZOMATO,NSE:ZOMATO,274.35,275.0,10.05,10.95,296.0,254.0,21.0,7.65%
Zydus Lifesciences Limited (XNSE:ZYDUSLIFE),ZYDUSLIFE,NSE:ZYDUSLIFE,981.5,980.0,24.8,22.85,1027.65,932.35,47.65,4.85%
