SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
PPAP,2025-01-17,12,20.0,3060,18432.0,-36.0,-83.0,N,N,,,5,5,15,2,26,26,61
PPL,2025-01-17,15,20.0,11587,40822.0,-26.0,-71.0,N,N,,,4,7,14,5,23,37,50
PPLPHARMA,2025-01-17,65,64.0,727364,1814444.0,2.0,-59.0,N,Y,,,6,6,13,3,25,15,72
PRAENG,2025-01-17,35,119.0,16500,98430.0,-70.0,-83.0,N,N,,,4,7,14,2,26,29,58
PRAJIND,2025-01-17,26,23.0,382143,439063.0,13.0,-12.0,N,Y,,,7,5,13,3,25,15,72
PRAKASH,2025-01-17,52,46.0,274171,330931.0,12.0,-17.0,N,N,,,6,6,13,7,21,52,35
PRAKASHSTL,2025-01-17,293,274.0,242654,295959.0,6.0,-18.0,N,N,,,4,9,12,4,24,21,66
PRECAM,2025-01-17,43,45.0,109680,113663.0,-3.0,-3.0,N,N,,,6,7,12,10,18,27,60
PRECWIRE,2025-01-17,23,27.0,106766,197702.0,-15.0,-45.0,N,N,,,4,6,15,7,21,48,39
PREMEXPLN,2025-01-17,19,28.0,21009,60158.0,-30.0,-65.0,N,N,,,5,5,15,3,25,10,77
PREMIERENE,2025-01-17,18,23.0,157938,422365.0,-23.0,-62.0,N,N,,,4,5,16,2,26,26,61
PRESTIGE,2025-01-17,12,13.0,241756,271776.0,-9.0,-11.0,Y,Y,,,3,5,17,3,25,25,62
PRICOLLTD,2025-01-17,13,15.0,117719,229784.0,-12.0,-48.0,N,N,,,8,6,11,19,9,54,33
PRIMESECU,2025-01-17,36,28.0,29768,28255.0,27.0,5.0,N,N,,,5,5,15,2,26,32,55
PRINCEPIPE,2025-01-17,9,11.0,56590,49620.0,-21.0,14.0,N,N,,,1,7,17,2,26,12,75
PRITI,2025-01-17,13,28.0,5650,22360.0,-53.0,-74.0,N,N,,,2,7,16,2,26,29,58
PRITIKAUTO,2025-01-17,157,139.0,91608,125291.0,12.0,-26.0,N,N,,,3,9,13,2,26,12,75
PRIVISCL,2025-01-17,9,12.0,16626,21250.0,-26.0,-21.0,N,N,,,7,7,11,7,21,57,30
PRSMJOHNSN,2025-01-17,26,28.0,216749,94135.0,-6.0,130.0,N,N,,,3,7,15,9,19,33,54
PRUDENT,2025-01-17,2,3.0,8964,19718.0,-23.0,-54.0,N,N,,,4,7,14,17,11,44,43
PSB,2025-01-17,155,146.0,272972,252752.0,6.0,7.0,N,N,,,3,11,11,5,23,44,43
PSPPROJECT,2025-01-17,10,16.0,18115,66883.0,-33.0,-72.0,N,N,,,5,5,15,17,11,61,26
PSUBANK,2025-01-17,18,32.0,7639,22994.0,-43.0,-66.0,N,N,,,2,9,14,7,21,46,41
PSUBANKADD,2025-01-17,66,569.0,2256,78352.0,-88.0,-97.0,N,N,,,4,7,14,3,25,42,45
PSUBNKBEES,2025-01-17,191,399.0,365984,2257726.0,-52.0,-83.0,N,N,,,2,9,14,3,25,42,45
PSUBNKIETF,2025-01-17,97,170.0,29086,123183.0,-42.0,-76.0,N,N,,,3,8,14,3,25,35,52
PTC,2025-01-17,65,67.0,1021354,925413.0,-3.0,10.0,N,N,,,2,9,14,5,23,49,38
PTCIL,2025-01-17,2,4.0,8393,14975.0,-47.0,-43.0,N,Y,,,5,4,16,8,20,38,49
PTL,2025-01-17,86,52.0,37819,32161.0,64.0,17.0,N,N,,,4,8,13,5,23,12,75
PUNJABCHEM,2025-01-17,17,5.0,5467,2684.0,197.0,103.0,N,N,,,5,6,14,20,8,44,43
PURVA,2025-01-17,22,28.0,17285,51944.0,-22.0,-66.0,N,N,,,4,5,16,2,26,19,68
PVP,2025-01-17,96,123.0,108845,294876.0,-21.0,-63.0,N,N,,,8,3,14,2,26,47,40
PVRINOX,2025-01-17,17,17.0,142285,224404.0,0.0,-36.0,Y,Y,,,3,9,13,1,27,42,45
PVSL,2025-01-17,39,32.0,41219,32363.0,23.0,27.0,N,N,,,6,7,12,15,13,68,19
PVTBANIETF,2025-01-17,896,748.0,4744762,1469919.0,19.0,222.0,N,N,,,4,7,14,17,8,56,28
PVTBANKADD,2025-01-17,129,170.0,135249,35553.0,-24.0,280.0,N,N,,,2,10,13,5,23,37,50
PYRAMID,2025-01-17,15,26.0,11976,30792.0,-41.0,-61.0,N,N,,,4,7,14,5,23,17,70
QGOLDHALF,2025-01-17,145,265.0,38473,77642.0,-45.0,-50.0,N,N,,,6,4,15,25,2,51,18
QNIFTY,2025-01-17,10,10.0,702,489.0,0.0,43.0,N,N,,,4,6,15,15,13,54,33
QUADFUTURE,2025-01-17,64,64.0,1205671,2429962.0,1.0,-50.0,N,N,,,2,0,1,5,2,5,2
QUAL30IETF,2025-01-17,65,304.0,54721,178242.0,-78.0,-69.0,N,N,,,0,9,16,7,21,46,41
QUESS,2025-01-17,18,16.0,56062,162941.0,13.0,-65.0,N,Y,,,6,3,16,7,21,29,58
QUICKHEAL,2025-01-17,14,22.0,13121,68006.0,-34.0,-80.0,N,N,,,5,4,16,16,12,16,71
RACE,2025-01-17,15,16.0,2252,10625.0,-7.0,-78.0,N,N,,,4,4,17,2,26,31,56
RACLGEAR,2025-01-17,3,6.0,979,3649.0,-41.0,-73.0,N,N,,,7,4,14,3,25,30,57
RADHIKAJWE,2025-01-17,421,106.0,245283,209156.0,297.0,17.0,N,N,,,5,9,11,4,23,9,32
RADIANTCMS,2025-01-17,23,68.0,29055,84802.0,-66.0,-65.0,N,N,,,2,5,18,16,12,37,50
RADICO,2025-01-17,6,8.0,88134,109450.0,-24.0,-19.0,N,Y,,,4,4,17,3,25,10,77
RADIOCITY,2025-01-17,176,227.0,34186,99955.0,-22.0,-65.0,N,N,,,4,5,16,7,21,10,77
RAILTEL,2025-01-17,60,45.0,577657,452057.0,33.0,27.0,N,Y,,,4,6,15,4,24,21,66
RAIN,2025-01-17,53,73.0,285514,517595.0,-27.0,-44.0,N,N,,,1,9,15,3,25,53,34
RAINBOW,2025-01-17,7,9.0,31211,61967.0,-21.0,-49.0,N,Y,,,7,5,13,24,4,68,19
RAJESHEXPO,2025-01-17,34,33.0,151197,153918.0,0.0,-1.0,N,Y,,,3,5,17,2,26,31,56
RAJMET,2025-01-17,220,213.0,280785,408187.0,3.0,-31.0,N,N,,,1,9,15,2,26,35,52
RAJRATAN,2025-01-17,13,14.0,13005,16429.0,-6.0,-20.0,N,N,,,6,5,14,6,22,31,56
RAJSREESUG,2025-01-17,59,54.0,78990,23581.0,8.0,234.0,N,N,,,4,9,12,5,23,29,58
RALLIS,2025-01-17,21,16.0,133151,151057.0,24.0,-11.0,N,N,,,5,9,11,4,24,45,42
