SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
20MICRONS,2025-01-15,38,61.0,56096,89321.0,-37.0,-37.0,N,N,,,5,7,13,2,4,2,4
360ONE,2025-01-15,22,13.0,989752,267871.0,64.0,269.0,N,Y,,,5,3,17,14,16,64,38
3IINFOLTD,2025-01-15,167,209.0,208698,880956.0,-20.0,-76.0,N,N,,,4,5,16,2,28,26,76
3MINDIA,2025-01-15,1,1.0,1714,1939.0,-6.0,-11.0,N,Y,,,3,7,15,8,22,32,70
5PAISA,2025-01-15,8,11.0,11133,14752.0,-30.0,-24.0,N,N,,,1,9,15,7,23,31,71
63MOONS,2025-01-15,31,62.0,105582,172380.0,-49.0,-38.0,N,N,,,4,7,14,7,23,40,62
AAATECH,2025-01-15,38,25.0,15883,9581.0,54.0,65.0,N,N,,,2,11,12,11,19,18,84
AADHARHFC,2025-01-15,27,25.0,320907,164683.0,7.0,94.0,N,Y,,,5,1,19,5,25,25,77
AAKASH,2025-01-15,178,167.0,117705,68253.0,6.0,72.0,N,N,,,3,11,11,0,28,19,64
AARON,2025-01-15,9,12.0,4807,7467.0,-24.0,-35.0,N,N,,,3,9,13,7,23,33,69
AARTIDRUGS,2025-01-15,11,12.0,37946,92681.0,-7.0,-59.0,N,N,,,2,7,16,0,30,6,96
AARTIIND,2025-01-15,54,45.0,920041,582608.0,19.0,57.0,Y,Y,,,4,7,14,20,10,49,53
AARTIPHARM,2025-01-15,17,18.0,186104,244390.0,-1.0,-23.0,N,N,,,8,4,13,21,9,38,64
AARTISURF,2025-01-15,5,12.0,1709,5317.0,-51.0,-67.0,N,N,,,6,4,15,3,27,16,65
AARVI,2025-01-15,30,27.0,5458,5421.0,12.0,0.0,N,N,,,1,6,18,8,22,32,70
AAVAS,2025-01-15,13,13.0,125682,100843.0,1.0,24.0,N,Y,,,4,4,17,22,8,85,17
ABAN,2025-01-15,28,36.0,54374,31931.0,-20.0,70.0,N,N,,,2,8,15,10,20,34,68
ABB,2025-01-15,5,7.0,125612,154613.0,-24.0,-18.0,Y,Y,,,2,9,14,11,19,47,55
ABBOTINDIA,2025-01-15,3,1.0,5415,4749.0,54.0,14.0,Y,Y,,,4,7,14,14,16,37,65
ABCAPITAL,2025-01-15,63,77.0,908207,1064280.0,-18.0,-14.0,Y,Y,,,2,9,14,11,19,40,62
ABDL,2025-01-15,48,52.0,192876,369335.0,-8.0,-47.0,N,N,,,6,6,13,11,19,49,53
ABFRL,2025-01-15,161,108.0,3072426,1023804.0,49.0,200.0,Y,Y,,,2,9,14,26,4,62,40
ABGSEC,2025-01-15,91,93.0,519,981.0,-2.0,-47.0,N,N,,,3,5,17,16,14,35,60
ABINFRA,2025-01-15,71,131.0,2880,38968.0,-45.0,-92.0,N,N,,,6,5,14,5,1,5,1
ABREL,2025-01-15,6,7.0,54392,99158.0,-20.0,-45.0,N,Y,,,1,11,13,7,23,14,88
ABSLAMC,2025-01-15,15,11.0,218470,202176.0,27.0,8.0,N,Y,,,4,5,16,13,17,31,71
ABSLBANETF,2025-01-15,82,367.0,24468,219391.0,-77.0,-88.0,N,N,,,6,9,10,17,13,29,66
ABSLLIQUID,2025-01-15,108,176.0,1410,6152.0,-38.0,-77.0,N,N,,,0,0,25,14,5,25,42
ABSLNN50ET,2025-01-15,35,42.0,10083,15894.0,-14.0,-36.0,N,N,,,2,8,15,6,24,42,60
ABSLPSE,2025-01-15,197,743.0,93430,476933.0,-73.0,-80.0,N,N,,,1,8,16,5,25,41,52
ACC,2025-01-15,17,11.0,251499,111492.0,55.0,125.0,Y,Y,,,3,9,13,19,11,48,54
ACCELYA,2025-01-15,9,20.0,8770,30304.0,-53.0,-71.0,N,N,,,4,6,15,10,20,34,68
ACCURACY,2025-01-15,160,250.0,110234,238931.0,-35.0,-53.0,N,N,,,1,5,19,16,14,16,86
ACE,2025-01-15,8,12.0,77669,139210.0,-31.0,-44.0,N,Y,,,5,7,13,7,23,30,72
ACEINTEG,2025-01-15,28,37.0,9519,6092.0,-24.0,56.0,N,N,,,3,7,15,5,25,22,80
ACI,2025-01-15,14,12.0,36638,53857.0,10.0,-31.0,N,Y,,,3,9,13,8,22,50,52
